('12.1.1.154', 58726, '192.168.70.129', 10000);('12.1.1.154', 58726, '192.168.70.129', 10000);('12.1.1.154', 58726, '192.168.70.129', 10000);total;total;total;
0.14606118202209473;1;57;0.14606118202209473;1;57;
0.34606122970581055;0;64;0.34606122970581055;0;64;
0.5460612773895264;0;80;0.5460612773895264;0;80;
0.7460613250732422;0;51;0.7460613250732422;0;51;
0.946061372756958;0;59;0.946061372756958;0;59;
1.1460614204406738;0;21;1.1460614204406738;0;21;
1.3460614681243896;0;61;1.3460614681243896;0;61;
1.5460615158081055;0;54;1.5460615158081055;0;54;
1.7460615634918213;0;44;1.7460615634918213;0;44;
1.946061611175537;0;35;1.946061611175537;0;35;
2.146061658859253;0;25;2.146061658859253;0;25;
2.3460617065429688;0;18;2.3460617065429688;0;18;
2.5460617542266846;0;19;2.5460617542266846;0;19;
2.7460618019104004;0;20;2.7460618019104004;0;20;
2.946061849594116;0;20;2.946061849594116;0;20;
3.146061897277832;0;21;3.146061897277832;0;21;
3.346061944961548;0;20;3.346061944961548;0;20;
3.5460619926452637;0;21;3.5460619926452637;0;21;
3.7460620403289795;0;14;3.7460620403289795;0;14;
3.9460620880126953;0;14;3.9460620880126953;0;14;
4.146062135696411;0;21;4.146062135696411;0;21;
4.346062183380127;0;22;4.346062183380127;0;22;
4.546062231063843;0;27;4.546062231063843;0;27;
4.746062278747559;0;22;4.746062278747559;0;22;
4.946062326431274;0;25;4.946062326431274;0;25;
5.14606237411499;0;14;5.14606237411499;0;14;
5.346062421798706;0;11;5.346062421798706;0;11;
5.546062469482422;0;24;5.546062469482422;0;24;
5.746062517166138;0;4;5.746062517166138;0;4;
5.9460625648498535;0;2;5.9460625648498535;0;2;
6.146062612533569;0;23;6.146062612533569;0;23;
6.346062660217285;0;23;6.346062660217285;0;23;
6.546062707901001;0;14;6.546062707901001;0;14;
6.746062755584717;0;9;6.746062755584717;0;9;
6.946062803268433;0;19;6.946062803268433;0;19;
7.146062850952148;0;19;7.146062850952148;0;19;
7.346062898635864;0;20;7.346062898635864;0;20;
7.54606294631958;0;19;7.54606294631958;0;19;
7.746062994003296;0;20;7.746062994003296;0;20;
7.946063041687012;0;20;7.946063041687012;0;20;
8.146063089370728;0;21;8.146063089370728;0;21;
8.346063137054443;0;20;8.346063137054443;0;20;
8.54606318473816;0;8;8.54606318473816;0;8;
8.746063232421875;0;19;8.746063232421875;0;19;
8.94606328010559;0;20;8.94606328010559;0;20;
9.146063327789307;0;19;9.146063327789307;0;19;
9.346063375473022;0;20;9.346063375473022;0;20;
9.546063423156738;0;19;9.546063423156738;0;19;
9.746063470840454;0;20;9.746063470840454;0;20;
9.94606351852417;0;21;9.94606351852417;0;21;
10.146063566207886;0;8;10.146063566207886;0;8;
10.346063613891602;0;18;10.346063613891602;0;18;
10.546063661575317;0;19;10.546063661575317;0;19;
10.746063709259033;0;22;10.746063709259033;0;22;
10.946063756942749;0;20;10.946063756942749;0;20;
11.146063804626465;0;19;11.146063804626465;0;19;
11.34606385231018;0;20;11.34606385231018;0;20;
11.546063899993896;0;19;11.546063899993896;0;19;
11.746063947677612;0;7;11.746063947677612;0;7;
11.946063995361328;0;19;11.946063995361328;0;19;
12.146064043045044;0;25;12.146064043045044;0;25;
12.34606409072876;0;22;12.34606409072876;0;22;
12.546064138412476;0;23;12.546064138412476;0;23;
12.746064186096191;0;24;12.746064186096191;0;24;
12.946064233779907;0;23;12.946064233779907;0;23;
13.146064281463623;0;14;13.146064281463623;0;14;
13.346064329147339;0;13;13.346064329147339;0;13;
13.546064376831055;0;22;13.546064376831055;0;22;
13.74606442451477;0;25;13.74606442451477;0;25;
13.946064472198486;0;24;13.946064472198486;0;24;
14.146064519882202;0;23;14.146064519882202;0;23;
14.346064567565918;0;22;14.346064567565918;0;22;
14.546064615249634;0;21;14.546064615249634;0;21;
14.74606466293335;0;8;14.74606466293335;0;8;
14.946064710617065;0;18;14.946064710617065;0;18;
15.146064758300781;0;19;15.146064758300781;0;19;
15.346064805984497;0;20;15.346064805984497;0;20;
15.546064853668213;0;20;15.546064853668213;0;20;
15.746064901351929;0;19;15.746064901351929;0;19;
15.946064949035645;0;22;15.946064949035645;0;22;
16.14606499671936;0;19;16.14606499671936;0;19;
16.346065044403076;0;8;16.346065044403076;0;8;
16.546065092086792;0;16;16.546065092086792;0;16;
16.746065139770508;0;21;16.746065139770508;0;21;
16.946065187454224;0;20;16.946065187454224;0;20;
17.14606523513794;0;21;17.14606523513794;0;21;
17.346065282821655;0;18;17.346065282821655;0;18;
17.54606533050537;0;21;17.54606533050537;0;21;
17.746065378189087;0;21;17.746065378189087;0;21;
17.946065425872803;0;14;17.946065425872803;0;14;
18.14606547355652;0;10;18.14606547355652;0;10;
18.346065521240234;0;26;18.346065521240234;0;26;
18.54606556892395;0;21;18.54606556892395;0;21;
18.746065616607666;0;24;18.746065616607666;0;24;
18.946065664291382;0;25;18.946065664291382;0;25;
19.146065711975098;0;22;19.146065711975098;0;22;
19.346065759658813;0;15;19.346065759658813;0;15;
19.54606580734253;0;12;19.54606580734253;0;12;
19.746065855026245;0;18;19.746065855026245;0;18;
19.94606590270996;0;19;19.94606590270996;0;19;
20.146065950393677;0;20;20.146065950393677;0;20;
20.346065998077393;0;19;20.346065998077393;0;19;
20.54606604576111;0;20;20.54606604576111;0;20;
20.746066093444824;0;20;20.746066093444824;0;20;
20.94606614112854;0;19;20.94606614112854;0;19;
21.146066188812256;0;22;21.146066188812256;0;22;
21.34606623649597;0;7;21.34606623649597;0;7;
21.546066284179688;0;18;21.546066284179688;0;18;
21.746066331863403;0;24;21.746066331863403;0;24;
21.94606637954712;0;23;21.94606637954712;0;23;
22.146066427230835;0;24;22.146066427230835;0;24;
22.34606647491455;0;23;22.34606647491455;0;23;
22.546066522598267;0;22;22.546066522598267;0;22;
22.746066570281982;0;15;22.746066570281982;0;15;
22.9460666179657;0;10;22.9460666179657;0;10;
23.146066665649414;0;25;23.146066665649414;0;25;
23.34606671333313;0;24;23.34606671333313;0;24;
23.546066761016846;0;23;23.546066761016846;0;23;
23.74606680870056;0;22;23.74606680870056;0;22;
23.946066856384277;0;25;23.946066856384277;0;25;
24.146066904067993;0;22;24.146066904067993;0;22;
24.34606695175171;0;8;24.34606695175171;0;8;
24.546066999435425;0;17;24.546066999435425;0;17;
24.74606704711914;0;24;24.74606704711914;0;24;
24.946067094802856;0;23;24.946067094802856;0;23;
25.146067142486572;0;22;25.146067142486572;0;22;
25.346067190170288;0;25;25.346067190170288;0;25;
25.546067237854004;0;22;25.546067237854004;0;22;
25.74606728553772;0;14;25.74606728553772;0;14;
25.946067333221436;0;8;25.946067333221436;0;8;
26.14606738090515;0;24;26.14606738090515;0;24;
26.346067428588867;0;20;26.346067428588867;0;20;
26.546067476272583;0;18;26.546067476272583;0;18;
26.7460675239563;0;17;26.7460675239563;0;17;
26.946067571640015;0;22;26.946067571640015;0;22;
27.14606761932373;0;18;27.14606761932373;0;18;
27.346067667007446;0;19;27.346067667007446;0;19;
27.546067714691162;0;20;27.546067714691162;0;20;
27.746067762374878;0;11;27.746067762374878;0;11;
27.946067810058594;0;18;27.946067810058594;0;18;
28.14606785774231;0;24;28.14606785774231;0;24;
28.346067905426025;0;23;28.346067905426025;0;23;
28.54606795310974;0;24;28.54606795310974;0;24;
28.746068000793457;0;23;28.746068000793457;0;23;
28.946068048477173;0;23;28.946068048477173;0;23;
29.14606809616089;0;10;29.14606809616089;0;10;
29.346068143844604;0;10;29.346068143844604;0;10;
29.54606819152832;0;20;29.54606819152832;0;20;
29.746068239212036;0;21;29.746068239212036;0;21;
29.946068286895752;0;20;29.946068286895752;0;20;
30.146068334579468;0;19;30.146068334579468;0;19;
30.346068382263184;0;20;30.346068382263184;0;20;
30.5460684299469;0;21;30.5460684299469;0;21;
30.746068477630615;0;16;30.746068477630615;0;16;
30.94606852531433;0;10;30.94606852531433;0;10;
31.146068572998047;0;17;31.146068572998047;0;17;
31.346068620681763;0;20;31.346068620681763;0;20;
31.54606866836548;0;20;31.54606866836548;0;20;
31.746068716049194;0;19;31.746068716049194;0;19;
31.94606876373291;0;20;31.94606876373291;0;20;
32.146068811416626;0;21;32.146068811416626;0;21;
32.34606885910034;0;20;32.34606885910034;0;20;
32.54606890678406;0;14;32.54606890678406;0;14;
32.74606895446777;0;10;32.74606895446777;0;10;
32.94606900215149;0;24;32.94606900215149;0;24;
33.146069049835205;0;24;33.146069049835205;0;24;
33.34606909751892;0;24;33.34606909751892;0;24;
33.54606914520264;0;21;33.54606914520264;0;21;
33.74606919288635;0;24;33.74606919288635;0;24;
33.94606924057007;0;23;33.94606924057007;0;23;
34.146069288253784;0;8;34.146069288253784;0;8;
34.3460693359375;0;14;34.3460693359375;0;14;
34.546069383621216;0;21;34.546069383621216;0;21;
34.74606943130493;0;20;34.74606943130493;0;20;
34.94606947898865;0;19;34.94606947898865;0;19;
35.14606952667236;0;22;35.14606952667236;0;22;
35.34606957435608;0;19;35.34606957435608;0;19;
35.546069622039795;0;20;35.546069622039795;0;20;
35.74606966972351;0;10;35.74606966972351;0;10;
35.94606971740723;0;15;35.94606971740723;0;15;
36.14606976509094;0;22;36.14606976509094;0;22;
36.34606981277466;0;17;36.34606981277466;0;17;
36.546069860458374;0;20;36.546069860458374;0;20;
36.74606990814209;0;22;36.74606990814209;0;22;
