('12.1.1.153', 44396, '192.168.70.129', 10000);('12.1.1.153', 44396, '192.168.70.129', 10000);total;total;
0.15674090385437012;3188040.0;0.15674090385437012;3188040.0;
0.35674095153808594;2280000.0;0.35674095153808594;2280000.0;
0.5567409992218018;1920000.0;0.5567409992218018;1920000.0;
0.7567410469055176;2700000.0;0.7567410469055176;2700000.0;
0.9567410945892334;4380000.0;0.9567410945892334;4380000.0;
1.1567411422729492;3960000.0;1.1567411422729492;3960000.0;
1.356741189956665;4140000.0;1.356741189956665;4140000.0;
1.5567412376403809;3420000.0;1.5567412376403809;3420000.0;
1.7567412853240967;3000000.0;1.7567412853240967;3000000.0;
1.9567413330078125;2280000.0;1.9567413330078125;2280000.0;
2.1567413806915283;2100000.0;2.1567413806915283;2100000.0;
2.356741428375244;1980000.0;2.356741428375244;1980000.0;
2.55674147605896;2220000.0;2.55674147605896;2220000.0;
2.756741523742676;1980000.0;2.756741523742676;1980000.0;
2.9567415714263916;2160000.0;2.9567415714263916;2160000.0;
3.1567416191101074;2220000.0;3.1567416191101074;2220000.0;
3.3567416667938232;2700000.0;3.3567416667938232;2700000.0;
3.556741714477539;3300000.0;3.556741714477539;3300000.0;
3.756741762161255;3960000.0;3.756741762161255;3960000.0;
3.9567418098449707;4560000.0;3.9567418098449707;4560000.0;
4.1567418575286865;5220000.0;4.1567418575286865;5220000.0;
4.356741905212402;5520000.0;4.356741905212402;5520000.0;
4.556741952896118;4920000.0;4.556741952896118;4920000.0;
4.756742000579834;3600000.0;4.756742000579834;3600000.0;
4.95674204826355;2880000.0;4.95674204826355;2880000.0;
5.156742095947266;5340000.0;5.156742095947266;5340000.0;
5.3567421436309814;5640000.0;5.3567421436309814;5640000.0;
5.556742191314697;5280000.0;5.556742191314697;5280000.0;
5.756742238998413;5520000.0;5.756742238998413;5520000.0;
5.956742286682129;5760000.0;5.956742286682129;5760000.0;
6.156742334365845;5400000.0;6.156742334365845;5400000.0;
6.3567423820495605;5520000.0;6.3567423820495605;5520000.0;
6.556742429733276;4920000.0;6.556742429733276;4920000.0;
6.756742477416992;5520000.0;6.756742477416992;5520000.0;
6.956742525100708;3660000.0;6.956742525100708;3660000.0;
7.156742572784424;6300000.0;7.156742572784424;6300000.0;
7.35674262046814;4800000.0;7.35674262046814;4800000.0;
7.5567426681518555;4620000.0;7.5567426681518555;4620000.0;
7.756742715835571;4920000.0;7.756742715835571;4920000.0;
7.956742763519287;4800000.0;7.956742763519287;4800000.0;
8.156742811203003;7320000.0;8.156742811203003;7320000.0;
8.356742858886719;5940000.0;8.356742858886719;5940000.0;
8.556742906570435;6480000.0;8.556742906570435;6480000.0;
8.75674295425415;4680000.0;8.75674295425415;4680000.0;
8.956743001937866;5160000.0;8.956743001937866;5160000.0;
9.156743049621582;6120000.0;9.156743049621582;6120000.0;
9.356743097305298;5760000.0;9.356743097305298;5760000.0;
9.556743144989014;6720000.0;9.556743144989014;6720000.0;
9.75674319267273;6900000.0;9.75674319267273;6900000.0;
9.956743240356445;6300000.0;9.956743240356445;6300000.0;
10.156743288040161;6840000.0;10.156743288040161;6840000.0;
10.356743335723877;6660000.0;10.356743335723877;6660000.0;
10.556743383407593;6240000.0;10.556743383407593;6240000.0;
10.756743431091309;7080000.0;10.756743431091309;7080000.0;
10.956743478775024;5280000.0;10.956743478775024;5280000.0;
11.15674352645874;4920000.0;11.15674352645874;4920000.0;
11.356743574142456;6480000.0;11.356743574142456;6480000.0;
11.556743621826172;5400000.0;11.556743621826172;5400000.0;
11.756743669509888;7380000.0;11.756743669509888;7380000.0;
11.956743717193604;6540000.0;11.956743717193604;6540000.0;
12.15674376487732;5160000.0;12.15674376487732;5160000.0;
12.356743812561035;6960000.0;12.356743812561035;6960000.0;
12.556743860244751;7020000.0;12.556743860244751;7020000.0;
12.756743907928467;7080000.0;12.756743907928467;7080000.0;
12.956743955612183;7080000.0;12.956743955612183;7080000.0;
13.156744003295898;6180000.0;13.156744003295898;6180000.0;
13.356744050979614;6660000.0;13.356744050979614;6660000.0;
13.55674409866333;7980000.0;13.55674409866333;7980000.0;
13.756744146347046;6600000.0;13.756744146347046;6600000.0;
13.956744194030762;5640000.0;13.956744194030762;5640000.0;
14.156744241714478;7260000.0;14.156744241714478;7260000.0;
14.356744289398193;5040000.0;14.356744289398193;5040000.0;
14.55674433708191;7200000.0;14.55674433708191;7200000.0;
14.756744384765625;8520000.0;14.756744384765625;8520000.0;
14.95674443244934;6180000.0;14.95674443244934;6180000.0;
15.156744480133057;5820000.0;15.156744480133057;5820000.0;
15.356744527816772;7560000.0;15.356744527816772;7560000.0;
15.556744575500488;7080000.0;15.556744575500488;7080000.0;
15.756744623184204;8460000.0;15.756744623184204;8460000.0;
15.95674467086792;8580000.0;15.95674467086792;8580000.0;
16.156744718551636;6840000.0;16.156744718551636;6840000.0;
16.35674476623535;8100000.0;16.35674476623535;8100000.0;
16.556744813919067;8460000.0;16.556744813919067;8460000.0;
16.756744861602783;6548160.0;16.756744861602783;6548160.0;
16.9567449092865;7980000.0;16.9567449092865;7980000.0;
17.156744956970215;9060000.0;17.156744956970215;9060000.0;
17.35674500465393;8580000.0;17.35674500465393;8580000.0;
17.556745052337646;8640000.0;17.556745052337646;8640000.0;
17.756745100021362;7680000.0;17.756745100021362;7680000.0;
17.956745147705078;7380000.0;17.956745147705078;7380000.0;
18.156745195388794;4980000.0;18.156745195388794;4980000.0;
18.35674524307251;0.0;18.35674524307251;0.0;
18.556745290756226;0.0;18.556745290756226;0.0;
18.75674533843994;0.0;18.75674533843994;0.0;
18.956745386123657;32640000.0;18.956745386123657;32640000.0;
19.156745433807373;8640000.0;19.156745433807373;8640000.0;
19.35674548149109;5280000.0;19.35674548149109;5280000.0;
19.556745529174805;0.0;19.556745529174805;0.0;
19.75674557685852;0.0;19.75674557685852;0.0;
19.956745624542236;0.0;19.956745624542236;0.0;
20.156745672225952;0.0;20.156745672225952;0.0;
20.356745719909668;0.0;20.356745719909668;0.0;
20.556745767593384;0.0;20.556745767593384;0.0;
20.7567458152771;0.0;20.7567458152771;0.0;
20.956745862960815;51172320.0;20.956745862960815;51172320.0;
21.15674591064453;0.0;21.15674591064453;0.0;
21.356745958328247;0.0;21.356745958328247;0.0;
21.556746006011963;0.0;21.556746006011963;0.0;
21.75674605369568;0.0;21.75674605369568;0.0;
21.956746101379395;0.0;21.956746101379395;0.0;
22.15674614906311;0.0;22.15674614906311;0.0;
22.356746196746826;0.0;22.356746196746826;0.0;
22.556746244430542;0.0;22.556746244430542;0.0;
22.756746292114258;0.0;22.756746292114258;0.0;
22.956746339797974;51996640.0;22.956746339797974;51996640.0;
23.15674638748169;1260000.0;23.15674638748169;1260000.0;
23.356746435165405;0.0;23.356746435165405;0.0;
23.55674648284912;0.0;23.55674648284912;0.0;
23.756746530532837;0.0;23.756746530532837;0.0;
23.956746578216553;0.0;23.956746578216553;0.0;
24.15674662590027;0.0;24.15674662590027;0.0;
24.356746673583984;0.0;24.356746673583984;0.0;
24.5567467212677;0.0;24.5567467212677;0.0;
24.756746768951416;0.0;24.756746768951416;0.0;
24.956746816635132;49920000.0;24.956746816635132;49920000.0;
25.156746864318848;0.0;25.156746864318848;0.0;
25.356746912002563;0.0;25.356746912002563;0.0;
25.55674695968628;0.0;25.55674695968628;0.0;
25.756747007369995;0.0;25.756747007369995;0.0;
25.95674705505371;0.0;25.95674705505371;0.0;
26.156747102737427;0.0;26.156747102737427;0.0;
26.356747150421143;0.0;26.356747150421143;0.0;
26.55674719810486;0.0;26.55674719810486;0.0;
26.756747245788574;0.0;26.756747245788574;0.0;
26.95674729347229;53032320.0;26.95674729347229;53032320.0;
27.156747341156006;0.0;27.156747341156006;0.0;
27.35674738883972;0.0;27.35674738883972;0.0;
27.556747436523438;0.0;27.556747436523438;0.0;
27.756747484207153;0.0;27.756747484207153;0.0;
27.95674753189087;0.0;27.95674753189087;0.0;
28.156747579574585;0.0;28.156747579574585;0.0;
28.3567476272583;0.0;28.3567476272583;0.0;
28.556747674942017;0.0;28.556747674942017;0.0;
28.756747722625732;0.0;28.756747722625732;0.0;
28.95674777030945;0.0;28.95674777030945;0.0;
29.156747817993164;50160000.0;29.156747817993164;50160000.0;
29.35674786567688;0.0;29.35674786567688;0.0;
29.556747913360596;0.0;29.556747913360596;0.0;
29.75674796104431;0.0;29.75674796104431;0.0;
29.956748008728027;0.0;29.956748008728027;0.0;
30.156748056411743;0.0;30.156748056411743;0.0;
30.35674810409546;0.0;30.35674810409546;0.0;
30.556748151779175;0.0;30.556748151779175;0.0;
30.75674819946289;0.0;30.75674819946289;0.0;
30.956748247146606;0.0;30.956748247146606;0.0;
31.156748294830322;0.0;31.156748294830322;0.0;
31.356748342514038;51540000.0;31.356748342514038;51540000.0;
31.556748390197754;1620000.0;31.556748390197754;1620000.0;
31.75674843788147;0.0;31.75674843788147;0.0;
31.956748485565186;0.0;31.956748485565186;0.0;
32.1567485332489;0.0;32.1567485332489;0.0;
32.35674858093262;0.0;32.35674858093262;0.0;
32.55674862861633;0.0;32.55674862861633;0.0;
32.75674867630005;0.0;32.75674867630005;0.0;
32.956748723983765;0.0;32.956748723983765;0.0;
33.15674877166748;0.0;33.15674877166748;0.0;
33.356748819351196;0.0;33.356748819351196;0.0;
33.55674886703491;0.0;33.55674886703491;0.0;
33.75674891471863;50050080.0;33.75674891471863;50050080.0;
33.956748962402344;0.0;33.956748962402344;0.0;
34.15674901008606;0.0;34.15674901008606;0.0;
34.356749057769775;0.0;34.356749057769775;0.0;
34.55674910545349;0.0;34.55674910545349;0.0;
34.75674915313721;0.0;34.75674915313721;0.0;
34.95674920082092;0.0;34.95674920082092;0.0;
35.15674924850464;0.0;35.15674924850464;0.0;
35.356749296188354;0.0;35.356749296188354;0.0;
35.55674934387207;51420000.0;35.55674934387207;51420000.0;
35.756749391555786;2220000.0;35.756749391555786;2220000.0;
35.9567494392395;0.0;35.9567494392395;0.0;
36.15674948692322;0.0;36.15674948692322;0.0;
36.356749534606934;0.0;36.356749534606934;0.0;
36.55674958229065;0.0;36.55674958229065;0.0;
36.756749629974365;0.0;36.756749629974365;0.0;
36.95674967765808;0.0;36.95674967765808;0.0;
37.1567497253418;0.0;37.1567497253418;0.0;
37.35674977302551;0.0;37.35674977302551;0.0;
37.55674982070923;0.0;37.55674982070923;0.0;
37.756749868392944;49552320.0;37.756749868392944;49552320.0;
37.95674991607666;0.0;37.95674991607666;0.0;
38.156749963760376;0.0;38.156749963760376;0.0;
38.35675001144409;0.0;38.35675001144409;0.0;
38.55675005912781;0.0;38.55675005912781;0.0;
38.75675010681152;0.0;38.75675010681152;0.0;
38.95675015449524;0.0;38.95675015449524;0.0;
39.156750202178955;0.0;39.156750202178955;0.0;
39.35675024986267;0.0;39.35675024986267;0.0;
39.55675029754639;0.0;39.55675029754639;0.0;
39.7567503452301;0.0;39.7567503452301;0.0;
39.95675039291382;53160000.0;39.95675039291382;53160000.0;
40.156750440597534;0.0;40.156750440597534;0.0;
40.35675048828125;0.0;40.35675048828125;0.0;
40.556750535964966;0.0;40.556750535964966;0.0;
40.75675058364868;0.0;40.75675058364868;0.0;
40.9567506313324;0.0;40.9567506313324;0.0;
41.15675067901611;0.0;41.15675067901611;0.0;
41.35675072669983;0.0;41.35675072669983;0.0;
41.556750774383545;0.0;41.556750774383545;0.0;
41.75675082206726;0.0;41.75675082206726;0.0;
41.95675086975098;50032320.0;41.95675086975098;50032320.0;
42.15675091743469;0.0;42.15675091743469;0.0;
42.35675096511841;0.0;42.35675096511841;0.0;
42.556751012802124;0.0;42.556751012802124;0.0;
42.75675106048584;0.0;42.75675106048584;0.0;
42.956751108169556;0.0;42.956751108169556;0.0;
43.15675115585327;0.0;43.15675115585327;0.0;
43.35675120353699;0.0;43.35675120353699;0.0;
43.5567512512207;0.0;43.5567512512207;0.0;
43.75675129890442;0.0;43.75675129890442;0.0;
43.956751346588135;50796640.0;43.956751346588135;50796640.0;
44.15675139427185;2100000.0;44.15675139427185;2100000.0;
44.356751441955566;0.0;44.356751441955566;0.0;
44.55675148963928;0.0;44.55675148963928;0.0;
44.756751537323;0.0;44.756751537323;0.0;
