('12.1.1.152', 52156, '192.168.70.129', 10001);('12.1.1.152', 52156, '192.168.70.129', 10001);total;total;
1685812278.453769;2648040.0;1685812278.453769;2672440.0;
1685812278.653769;7800000.0;1685812278.653769;7800000.0;
1685812278.853769;11340000.0;1685812278.853769;11340000.0;
1685812279.053769;7920000.0;1685812279.053769;7920000.0;
1685812279.2537692;2340000.0;1685812279.2537692;2340000.0;
1685812279.4537692;0.0;1685812279.4537692;0.0;
1685812279.6537693;9002080.0;1685812279.6537693;9002080.0;
1685812279.8537693;9900000.0;1685812279.8537693;9900000.0;
1685812280.0537694;11940000.0;1685812280.0537694;11940000.0;
1685812280.2537694;9420000.0;1685812280.2537694;9420000.0;
1685812280.4537694;8100000.0;1685812280.4537694;8100000.0;
1685812280.6537695;7980000.0;1685812280.6537695;7980000.0;
1685812280.8537695;6000000.0;1685812280.8537695;6000000.0;
1685812281.0537696;5520000.0;1685812281.0537696;5520000.0;
1685812281.2537696;5640000.0;1685812281.2537696;5640000.0;
1685812281.4537697;5700000.0;1685812281.4537697;5700000.0;
1685812281.6537697;5400000.0;1685812281.6537697;5400000.0;
1685812281.8537698;5520000.0;1685812281.8537698;5520000.0;
1685812282.0537698;5760000.0;1685812282.0537698;5760000.0;
1685812282.2537699;5520000.0;1685812282.2537699;5520000.0;
1685812282.45377;6000000.0;1685812282.45377;6000000.0;
1685812282.65377;7980000.0;1685812282.65377;7980000.0;
1685812282.85377;8220000.0;1685812282.85377;8220000.0;
1685812283.05377;10560000.0;1685812283.05377;10560000.0;
1685812283.25377;11400000.0;1685812283.25377;11400000.0;
1685812283.4537702;10320000.0;1685812283.4537702;10320000.0;
1685812283.6537702;9540000.0;1685812283.6537702;9540000.0;
1685812283.8537703;9000000.0;1685812283.8537703;9000000.0;
1685812284.0537703;13140000.0;1685812284.0537703;13140000.0;
1685812284.2537704;11160000.0;1685812284.2537704;11160000.0;
1685812284.4537704;9540000.0;1685812284.4537704;9540000.0;
1685812284.6537704;10560000.0;1685812284.6537704;10560000.0;
1685812284.8537705;11160000.0;1685812284.8537705;11160000.0;
1685812285.0537705;11460000.0;1685812285.0537705;11460000.0;
1685812285.2537706;11280000.0;1685812285.2537706;11280000.0;
1685812285.4537706;10560000.0;1685812285.4537706;10560000.0;
1685812285.6537707;11280000.0;1685812285.6537707;11280000.0;
1685812285.8537707;11160000.0;1685812285.8537707;11160000.0;
1685812286.0537708;9720000.0;1685812286.0537708;9720000.0;
1685812286.2537708;11280000.0;1685812286.2537708;11280000.0;
1685812286.4537709;10440000.0;1685812286.4537709;10440000.0;
1685812286.653771;11040000.0;1685812286.653771;11040000.0;
1685812286.853771;10320000.0;1685812286.853771;10320000.0;
1685812287.053771;9180000.0;1685812287.053771;9180000.0;
1685812287.253771;10200000.0;1685812287.253771;10200000.0;
1685812287.453771;10200000.0;1685812287.453771;10200000.0;
1685812287.6537712;10500000.0;1685812287.6537712;10500000.0;
1685812287.8537712;10680000.0;1685812287.8537712;10680000.0;
1685812288.0537713;10080000.0;1685812288.0537713;10080000.0;
1685812288.2537713;10200000.0;1685812288.2537713;10200000.0;
1685812288.4537714;6600000.0;1685812288.4537714;6600000.0;
1685812288.6537714;8340000.0;1685812288.6537714;8340000.0;
1685812288.8537714;10680000.0;1685812288.8537714;10680000.0;
1685812289.0537715;10320000.0;1685812289.0537715;10320000.0;
1685812289.2537715;11700000.0;1685812289.2537715;11700000.0;
1685812289.4537716;10020000.0;1685812289.4537716;10020000.0;
1685812289.6537716;10800000.0;1685812289.6537716;10800000.0;
1685812289.8537717;10200000.0;1685812289.8537717;10200000.0;
1685812290.0537717;10200000.0;1685812290.0537717;10200000.0;
1685812290.2537718;10680000.0;1685812290.2537718;10680000.0;
1685812290.4537718;10800000.0;1685812290.4537718;10800000.0;
1685812290.6537719;10440000.0;1685812290.6537719;10440000.0;
1685812290.853772;11640000.0;1685812290.853772;11640000.0;
1685812291.053772;10800000.0;1685812291.053772;10800000.0;
1685812291.253772;10440000.0;1685812291.253772;10440000.0;
1685812291.453772;10320000.0;1685812291.453772;10320000.0;
1685812291.653772;10800000.0;1685812291.653772;10800000.0;
1685812291.8537722;10260000.0;1685812291.8537722;10260000.0;
1685812292.0537722;11100000.0;1685812292.0537722;11100000.0;
1685812292.2537723;9900000.0;1685812292.2537723;9900000.0;
1685812292.4537723;10560000.0;1685812292.4537723;10560000.0;
1685812292.6537724;11160000.0;1685812292.6537724;11160000.0;
1685812292.8537724;11160000.0;1685812292.8537724;11160000.0;
1685812293.0537724;10080000.0;1685812293.0537724;10080000.0;
1685812293.2537725;10320000.0;1685812293.2537725;10320000.0;
1685812293.4537725;11400000.0;1685812293.4537725;11400000.0;
1685812293.6537726;10560000.0;1685812293.6537726;10560000.0;
1685812293.8537726;10320000.0;1685812293.8537726;10320000.0;
1685812294.0537727;10320000.0;1685812294.0537727;10320000.0;
1685812294.2537727;10320000.0;1685812294.2537727;10320000.0;
1685812294.4537728;11640000.0;1685812294.4537728;11640000.0;
1685812294.6537728;10320000.0;1685812294.6537728;10320000.0;
