('192.168.70.134', 45052, '192.168.70.129', 10000);('192.168.70.134', 45052, '192.168.70.129', 10000);('192.168.70.134', 45052, '192.168.70.129', 10000);('192.168.70.134', 44474, '192.168.70.129', 10001);('192.168.70.134', 44474, '192.168.70.129', 10001);('192.168.70.134', 44474, '192.168.70.129', 10001);total;total;total;
1685936848.3838956;1;13;1685936848.3838956;1;5;1685936833.583892;0;0;
1685936848.5838957;0;21;1685936848.5838957;0;28;1685936833.7838922;0;0;
1685936848.7838957;0;28;1685936848.7838957;0;6;1685936833.9838922;0;0;
1685936848.9838958;0;31;1685936848.9838958;0;56;1685936834.1838923;0;0;
1685936849.1838958;0;19;1685936849.1838958;0;62;1685936834.3838923;0;0;
1685936849.3838959;0;14;1685936849.3838959;0;63;1685936834.5838923;0;0;
1685936849.583896;0;0;1685936849.583896;0;64;1685936834.7838924;0;0;
1685936849.783896;0;22;1685936849.783896;0;36;1685936834.9838924;0;0;
1685936849.983896;0;13;1685936849.983896;0;45;1685936835.1838925;0;0;
1685936850.183896;0;0;1685936850.183896;0;58;1685936835.3838925;0;0;
1685936850.383896;0;0;1685936850.383896;0;57;1685936835.5838926;0;0;
1685936850.5838962;0;0;1685936850.5838962;0;57;1685936835.7838926;0;0;
1685936850.7838962;0;19;1685936850.7838962;0;40;1685936835.9838927;0;0;
1685936850.9838963;0;15;1685936850.9838963;0;53;1685936836.1838927;0;0;
1685936851.1838963;0;2;1685936851.1838963;0;78;1685936836.3838928;0;0;
1685936851.3838964;0;0;1685936851.3838964;0;68;1685936836.5838928;0;0;
1685936851.5838964;0;0;1685936851.5838964;0;63;1685936836.7838929;0;0;
1685936851.7838964;0;0;1685936851.7838964;0;84;1685936836.983893;0;0;
1685936851.9838965;0;0;1685936851.9838965;0;78;1685936837.183893;0;0;
1685936852.1838965;0;0;1685936852.1838965;0;93;1685936837.383893;0;0;
1685936852.3838966;0;29;1685936852.3838966;0;67;1685936837.583893;0;0;
