('12.1.1.152', 59516, '192.168.70.129', 10000);('12.1.1.152', 59516, '192.168.70.129', 10000);('12.1.1.152', 59516, '192.168.70.129', 10000);total;total;total;
0.0908811092376709;1;14;0.0908811092376709;1;14;
0.2908811569213867;0;17;0.2908811569213867;0;17;
0.49088120460510254;0;5;0.49088120460510254;0;5;
0.6908812522888184;0;9;0.6908812522888184;0;9;
0.8908812999725342;0;9;0.8908812999725342;0;9;
1.09088134765625;0;15;1.09088134765625;0;15;
1.2908813953399658;0;18;1.2908813953399658;0;18;
1.4908814430236816;0;18;1.4908814430236816;0;18;
1.6908814907073975;0;18;1.6908814907073975;0;18;
1.8908815383911133;0;18;1.8908815383911133;0;18;
2.090881586074829;0;21;2.090881586074829;0;21;
2.290881633758545;0;20;2.290881633758545;0;20;
2.4908816814422607;0;20;2.4908816814422607;0;20;
2.6908817291259766;0;18;2.6908817291259766;0;18;
2.8908817768096924;0;20;2.8908817768096924;0;20;
3.090881824493408;0;20;3.090881824493408;0;20;
3.290881872177124;0;18;3.290881872177124;0;18;
3.49088191986084;0;12;3.49088191986084;0;12;
3.6908819675445557;0;14;3.6908819675445557;0;14;
3.8908820152282715;0;21;3.8908820152282715;0;21;
4.090882062911987;0;17;4.090882062911987;0;17;
4.290882110595703;0;20;4.290882110595703;0;20;
4.490882158279419;0;20;4.490882158279419;0;20;
4.690882205963135;0;20;4.690882205963135;0;20;
4.890882253646851;0;20;4.890882253646851;0;20;
5.090882301330566;0;20;5.090882301330566;0;20;
5.290882349014282;0;8;5.290882349014282;0;8;
5.490882396697998;0;15;5.490882396697998;0;15;
5.690882444381714;0;21;5.690882444381714;0;21;
5.89088249206543;0;21;5.89088249206543;0;21;
6.0908825397491455;0;19;6.0908825397491455;0;19;
6.290882587432861;0;20;6.290882587432861;0;20;
6.490882635116577;0;18;6.490882635116577;0;18;
6.690882682800293;0;23;6.690882682800293;0;23;
6.890882730484009;0;12;6.890882730484009;0;12;
7.090882778167725;0;13;7.090882778167725;0;13;
7.29088282585144;0;24;7.29088282585144;0;24;
7.490882873535156;0;24;7.490882873535156;0;24;
7.690882921218872;0;23;7.690882921218872;0;23;
7.890882968902588;0;22;7.890882968902588;0;22;
8.090883016586304;0;25;8.090883016586304;0;25;
8.29088306427002;0;11;8.29088306427002;0;11;
8.490883111953735;0;8;8.490883111953735;0;8;
8.690883159637451;0;22;8.690883159637451;0;22;
8.890883207321167;0;18;8.890883207321167;0;18;
9.090883255004883;0;20;9.090883255004883;0;20;
9.290883302688599;0;18;9.290883302688599;0;18;
9.490883350372314;0;20;9.490883350372314;0;20;
