('192.168.70.129', 42570, '12.1.1.159', 10000);('192.168.70.129', 42570, '12.1.1.159', 10000);('192.168.70.129', 42570, '12.1.1.159', 10000);total;total;total;
0.11826205253601074;1;25;0.11826205253601074;4;33;
0.31826210021972656;0;113;0.31826210021972656;0;113;
0.5182621479034424;0;68;0.5182621479034424;0;68;
0.7182621955871582;0;1;0.7182621955871582;0;1;
0.918262243270874;0;200;0.918262243270874;0;200;
1.1182622909545898;1;218;1.1182622909545898;1;218;
1.3182623386383057;0;96;1.3182623386383057;0;96;
1.5182623863220215;0;141;1.5182623863220215;0;141;
1.7182624340057373;0;106;1.7182624340057373;0;106;
1.9182624816894531;0;40;1.9182624816894531;0;40;
2.118262529373169;0;99;2.118262529373169;0;99;
2.3182625770568848;0;38;2.3182625770568848;0;38;
2.5182626247406006;0;108;2.5182626247406006;0;108;
2.7182626724243164;0;19;2.7182626724243164;0;19;
2.9182627201080322;0;101;2.9182627201080322;0;101;
3.118262767791748;0;68;3.118262767791748;0;68;
3.318262815475464;0;43;3.318262815475464;0;43;
3.5182628631591797;0;85;3.5182628631591797;0;85;
3.7182629108428955;0;26;3.7182629108428955;0;26;
3.9182629585266113;0;100;3.9182629585266113;0;100;
4.118263006210327;0;52;4.118263006210327;0;52;
4.318263053894043;0;60;4.318263053894043;0;60;
4.518263101577759;0;65;4.518263101577759;0;65;
4.718263149261475;0;31;4.718263149261475;0;31;
4.91826319694519;0;57;4.91826319694519;0;57;
5.118263244628906;0;52;5.118263244628906;0;52;
5.318263292312622;0;13;5.318263292312622;0;13;
5.518263339996338;0;94;5.518263339996338;0;94;
5.718263387680054;0;56;5.718263387680054;0;56;
5.9182634353637695;0;0;5.9182634353637695;0;0;
6.118263483047485;0;67;6.118263483047485;0;67;
6.318263530731201;0;57;6.318263530731201;0;57;
6.518263578414917;0;53;6.518263578414917;0;53;
6.718263626098633;0;0;6.718263626098633;0;0;
6.918263673782349;0;0;6.918263673782349;0;0;
7.1182637214660645;0;137;7.1182637214660645;0;137;
7.31826376914978;0;62;7.31826376914978;0;62;
7.518263816833496;0;0;7.518263816833496;0;0;
7.718263864517212;0;123;7.718263864517212;0;123;
7.918263912200928;0;65;7.918263912200928;0;65;
8.118263959884644;0;14;8.118263959884644;0;14;
8.31826400756836;0;0;8.31826400756836;0;0;
8.518264055252075;0;144;8.518264055252075;0;144;
8.718264102935791;0;36;8.718264102935791;0;36;
8.918264150619507;0;1;8.918264150619507;0;1;
9.118264198303223;0;0;9.118264198303223;0;0;
9.318264245986938;0;0;9.318264245986938;0;0;
9.518264293670654;11;60;9.518264293670654;11;60;
9.71826434135437;0;0;9.71826434135437;0;0;
9.918264389038086;0;0;9.918264389038086;0;0;
10.118264436721802;10;54;10.118264436721802;10;54;
10.318264484405518;0;0;10.318264484405518;0;0;
10.518264532089233;0;906;10.518264532089233;0;906;
10.71826457977295;0;0;10.71826457977295;0;0;
10.918264627456665;13;177;10.918264627456665;13;177;
11.11826467514038;199;389;11.11826467514038;199;389;
11.318264722824097;244;477;11.318264722824097;244;477;
11.518264770507812;58;316;11.518264770507812;58;316;
11.718264818191528;0;243;11.718264818191528;0;243;
11.918264865875244;0;417;11.918264865875244;0;417;
12.11826491355896;0;163;12.11826491355896;0;163;
12.318264961242676;0;182;12.318264961242676;0;182;
12.518265008926392;0;259;12.518265008926392;0;259;
12.718265056610107;0;259;12.718265056610107;0;259;
12.918265104293823;0;259;12.918265104293823;0;259;
13.118265151977539;0;250;13.118265151977539;0;250;
13.318265199661255;0;224;13.318265199661255;0;224;
13.51826524734497;0;119;13.51826524734497;0;119;
13.718265295028687;0;211;13.718265295028687;0;211;
13.918265342712402;0;213;13.918265342712402;0;213;
14.118265390396118;0;178;14.118265390396118;0;178;
14.318265438079834;0;242;14.318265438079834;0;242;
14.51826548576355;0;163;14.51826548576355;0;163;
14.718265533447266;0;140;14.718265533447266;0;140;
14.918265581130981;0;137;14.918265581130981;0;137;
15.118265628814697;0;140;15.118265628814697;0;140;
15.318265676498413;0;139;15.318265676498413;0;139;
15.518265724182129;0;138;15.518265724182129;0;138;
15.718265771865845;0;104;15.718265771865845;0;104;
15.91826581954956;0;115;15.91826581954956;0;115;
16.118265867233276;0;130;16.118265867233276;0;130;
16.318265914916992;0;154;16.318265914916992;0;154;
16.518265962600708;0;138;16.518265962600708;0;138;
16.718266010284424;0;91;16.718266010284424;0;91;
16.91826605796814;0;153;16.91826605796814;0;153;
17.118266105651855;0;111;17.118266105651855;0;111;
17.31826615333557;0;150;17.31826615333557;0;150;
17.518266201019287;0;124;17.518266201019287;0;124;
17.718266248703003;0;117;17.718266248703003;0;117;
17.91826629638672;0;140;17.91826629638672;0;140;
18.118266344070435;0;143;18.118266344070435;0;143;
18.31826639175415;0;109;18.31826639175415;0;109;
18.518266439437866;0;139;18.518266439437866;0;139;
18.718266487121582;0;124;18.718266487121582;0;124;
18.918266534805298;0;145;18.918266534805298;0;145;
19.118266582489014;0;109;19.118266582489014;0;109;
19.31826663017273;0;134;19.31826663017273;0;134;
19.518266677856445;0;111;19.518266677856445;0;111;
19.71826672554016;0;168;19.71826672554016;0;168;
19.918266773223877;0;106;19.918266773223877;0;106;
20.118266820907593;0;145;20.118266820907593;0;145;
20.31826686859131;0;142;20.31826686859131;0;142;
20.518266916275024;0;135;20.518266916275024;0;135;
20.71826696395874;0;96;20.71826696395874;0;96;
20.918267011642456;0;134;20.918267011642456;0;134;
21.118267059326172;0;126;21.118267059326172;0;126;
21.318267107009888;0;150;21.318267107009888;0;150;
21.518267154693604;0;104;21.518267154693604;0;104;
21.71826720237732;0;145;21.71826720237732;0;145;
21.918267250061035;0;99;21.918267250061035;0;99;
22.11826729774475;0;136;22.11826729774475;0;136;
22.318267345428467;0;159;22.318267345428467;0;159;
22.518267393112183;0;118;22.518267393112183;0;118;
22.7182674407959;0;101;22.7182674407959;0;101;
