('192.168.70.129', 59186, '12.1.1.157', 10001);('192.168.70.129', 59186, '12.1.1.157', 10001);('192.168.70.129', 59186, '12.1.1.157', 10001);('192.168.70.129', 47306, '12.1.1.157', 10000);('192.168.70.129', 47306, '12.1.1.157', 10000);('192.168.70.129', 47306, '12.1.1.157', 10000);total;total;total;
1685947648.283037;1;24;1685947648.283037;1;13;1685947648.283037;6;51;
1685947648.483037;0;46;1685947648.483037;0;41;1685947648.483037;2;89;
1685947648.683037;0;76;1685947648.683037;0;35;1685947648.683037;0;111;
1685947648.883037;0;126;1685947648.883037;0;7;1685947648.883037;0;133;
1685947649.0830371;0;114;1685947649.0830371;0;29;1685947649.0830371;0;143;
1685947649.2830372;0;160;1685947649.2830372;0;4;1685947649.2830372;0;164;
1685947649.4830372;0;130;1685947649.4830372;0;28;1685947649.4830372;0;158;
1685947649.6830373;0;154;1685947649.6830373;0;2;1685947649.6830373;0;156;
1685947649.8830373;0;157;1685947649.8830373;0;0;1685947649.8830373;0;157;
1685947650.0830374;0;154;1685947650.0830374;0;12;1685947650.0830374;0;166;
1685947650.2830374;0;133;1685947650.2830374;0;22;1685947650.2830374;0;155;
1685947650.4830375;0;138;1685947650.4830375;0;2;1685947650.4830375;0;140;
1685947650.6830375;0;123;1685947650.6830375;0;0;1685947650.6830375;0;123;
1685947650.8830376;0;121;1685947650.8830376;0;0;1685947650.8830376;0;121;
1685947651.0830376;0;125;1685947651.0830376;0;0;1685947651.0830376;0;125;
1685947651.2830377;0;119;1685947651.2830377;0;0;1685947651.2830377;0;119;
1685947651.4830377;0;120;1685947651.4830377;0;0;1685947651.4830377;0;120;
1685947651.6830378;0;112;1685947651.6830378;0;5;1685947651.6830378;0;117;
1685947651.8830378;0;120;1685947651.8830378;0;0;1685947651.8830378;0;120;
1685947652.0830379;0;92;1685947652.0830379;0;28;1685947652.0830379;0;120;
1685947652.283038;0;121;1685947652.283038;0;0;1685947652.283038;0;121;
1685947652.483038;0;125;1685947652.483038;0;2;1685947652.483038;0;127;
1685947652.683038;0;125;1685947652.683038;0;0;1685947652.683038;0;125;
1685947652.883038;0;126;1685947652.883038;0;2;1685947652.883038;0;128;
1685947653.083038;0;133;1685947653.083038;0;0;1685947653.083038;0;133;
1685947653.2830381;0;134;1685947653.2830381;0;0;1685947653.2830381;0;134;
1685947653.4830382;0;127;1685947653.4830382;0;0;1685947653.4830382;0;127;
1685947653.6830382;0;130;1685947653.6830382;0;0;1685947653.6830382;0;130;
1685947653.8830383;0;130;1685947653.8830383;0;0;1685947653.8830383;0;130;
1685947654.0830383;0;133;1685947654.0830383;0;0;1685947654.0830383;0;133;
1685947654.2830384;0;129;1685947654.2830384;0;0;1685947654.2830384;0;129;
1685947654.4830384;0;124;1685947654.4830384;0;0;1685947654.4830384;0;124;
1685947654.6830385;0;85;1685947654.6830385;0;43;1685947654.6830385;0;128;
1685947654.8830385;0;125;1685947654.8830385;0;0;1685947654.8830385;0;125;
1685947655.0830386;0;124;1685947655.0830386;0;0;1685947655.0830386;0;124;
1685947655.2830386;0;125;1685947655.2830386;0;0;1685947655.2830386;0;125;
1685947655.4830387;0;110;1685947655.4830387;0;0;1685947655.4830387;0;110;
1685947655.6830387;0;122;1685947655.6830387;0;4;1685947655.6830387;0;126;
1685947655.8830388;0;125;1685947655.8830388;0;0;1685947655.8830388;0;125;
1685947656.0830388;0;110;1685947656.0830388;0;0;1685947656.0830388;0;110;
1685947656.2830389;0;108;1685947656.2830389;0;0;1685947656.2830389;0;108;
1685947656.483039;0;117;1685947656.483039;0;0;1685947656.483039;0;117;
1685947656.683039;0;117;1685947656.683039;0;0;1685947656.683039;0;117;
1685947656.883039;0;56;1685947656.883039;0;64;1685947656.883039;0;120;
1685947657.083039;0;107;1685947657.083039;0;6;1685947657.083039;0;113;
1685947657.283039;0;118;1685947657.283039;0;0;1685947657.283039;0;118;
1685947657.4830391;0;121;1685947657.4830391;0;0;1685947657.4830391;0;121;
1685947657.6830392;0;112;1685947657.6830392;0;0;1685947657.6830392;0;112;
1685947657.8830392;0;88;1685947657.8830392;0;41;1685947657.8830392;0;129;
