('192.168.70.129', 59186, '12.1.1.157', 10001);('192.168.70.129', 59186, '12.1.1.157', 10001);('192.168.70.129', 47306, '12.1.1.157', 10000);('192.168.70.129', 47306, '12.1.1.157', 10000);
1685947648.167473;0.02002716064453125;1685947648.168001;0.008821487426757812;
1685947648.172958;0.026941299438476562;1685947648.177481;0.02193450927734375;
1685947648.201327;0.010013580322265625;1685947648.227773;0.0050067901611328125;
1685947648.202733;0.008106231689453125;1685947648.230199;0.008106231689453125;
1685947648.205795;0.010013580322265625;1685947648.232676;0.009059906005859375;
1685947648.208258;0.010013580322265625;1685947648.23622;0.007867813110351562;
1685947648.210701;0.009059906005859375;1685947648.238275;0.013113021850585938;
1685947648.213222;0.008106231689453125;1685947648.24073;0.009059906005859375;
1685947648.217218;0.008821487426757812;1685947648.243223;0.009059906005859375;
1685947648.218547;0.006198883056640625;1685947648.247239;0.010013580322265625;
1685947648.222158;0.010013580322265625;1685947648.24844;0.008106231689453125;
1685947648.225305;0.010967254638671875;1685947648.252172;0.010013580322265625;
1685947648.255683;0.007867813110351562;1685947648.288471;0.007867813110351562;
1685947648.257256;0.008106231689453125;1685947648.307671;0.008106231689453125;
1685947648.258447;0.0050067901611328125;1685947648.31026;0.007152557373046875;
1685947648.26218;0.008106231689453125;1685947648.312765;0.008821487426757812;
1685947648.265178;0.010013580322265625;1685947648.315749;0.008821487426757812;
1685947648.267753;0.0069141387939453125;1685947648.317669;0.0059604644775390625;
1685947648.270228;0.0069141387939453125;1685947648.32026;0.007152557373046875;
1685947648.272701;0.0069141387939453125;1685947648.322751;0.008106231689453125;
1685947648.276193;0.0069141387939453125;1685947648.325202;0.008106231689453125;
1685947648.278177;0.009059906005859375;1685947648.327693;0.0069141387939453125;
1685947648.280775;0.008106231689453125;1685947648.330275;0.009059906005859375;
1685947648.283282;0.008106231689453125;1685947648.33277;0.008106231689453125;
1685947648.287247;0.009059906005859375;1685947648.335753;0.007867813110351562;
1685947648.292182;0.0059604644775390625;1685947648.33718;0.0069141387939453125;
1685947648.295737;0.009059906005859375;1685947648.338215;0.0050067901611328125;
1685947648.297646;0.0059604644775390625;1685947648.342222;0.007867813110351562;
1685947648.300286;0.008106231689453125;1685947648.343288;0.0069141387939453125;
1685947648.302746;0.0059604644775390625;1685947648.347184;0.010013580322265625;
1685947648.305199;0.010967254638671875;1685947648.34824;0.0069141387939453125;
1685947648.35228;0.010967254638671875;1685947648.416181;0.008106231689453125;
