('12.1.1.151', 47042, '192.168.70.129', 10000);('12.1.1.151', 47042, '192.168.70.129', 10000);('12.1.1.151', 47042, '192.168.70.129', 10000);
0.0;10.0;0;
0.6514260768890381;10.0;0;
0.6548101902008057;10.0;0;
0.658156156539917;10.0;0;
0.6615390777587891;10.0;0;
0.6649191379547119;10.0;0;
0.6682791709899902;10.0;0;
0.6716492176055908;10.0;0;
0.6750180721282959;10.0;0;
0.6783630847930908;10.0;0;
0.6817212104797363;10.0;0;
0.6850800514221191;10.0;0;
0.6884610652923584;10.0;0;
0.004380226135253906;10.0;0;
0.6951961517333984;10.0;0;
0.6985599994659424;10.0;0;
0.7019062042236328;10.0;0;
0.7086391448974609;12.0;0;
0.712022066116333;13.0;0;
0.7154240608215332;14.0;0;
0.7187790870666504;14.0;0;
0.7221131324768066;14.0;0;
0.7254421710968018;16.0;0;
0.7288010120391846;18.0;0;
0.7321531772613525;18.0;0;
0.7355341911315918;18.0;0;
0.7388780117034912;18.0;0;
0.7422292232513428;20.0;0;
0.7455790042877197;22.0;0;
0.748939037322998;24.0;0;
0.7522950172424316;24.0;0;
0.755648136138916;24.0;0;
0.7590081691741943;25.0;0;
0.7623481750488281;27.0;0;
0.7657101154327393;28.0;0;
0.7690560817718506;28.0;0;
0.7724201679229736;28.0;0;
0.775766134262085;28.0;0;
0.7791481018066406;29.0;29.0;
0.7825322151184082;29.0;29.0;
0.7858781814575195;29.0;29.0;
0.7892282009124756;29.0;29.0;
0.7926120758056641;29.0;29.0;
0.7959780693054199;29.0;29.0;
0.79935622215271;29.0;29.0;
0.8028051853179932;29.0;29.0;
0.8061940670013428;29.0;29.0;
0.8095412254333496;29.0;29.0;
0.8129281997680664;29.0;29.0;
0.8163080215454102;29.0;29.0;
0.8197131156921387;29.0;29.0;
0.8230931758880615;29.0;29.0;
0.8264260292053223;29.0;29.0;
0.8298261165618896;29.0;29.0;
0.8331952095031738;29.0;29.0;
0.836555004119873;29.0;29.0;
0.83992600440979;29.0;29.0;
0.8432919979095459;30.0;29.0;
0.8466660976409912;30.0;29.0;
0.8500030040740967;30.0;29.0;
0.02053213119506836;30.0;29.0;
0.8567240238189697;30.0;29.0;
0.860084056854248;30.0;29.0;
0.8634412288665771;30.0;29.0;
0.8668081760406494;30.0;29.0;
0.8701481819152832;30.0;29.0;
0.8735260963439941;30.0;29.0;
0.8769021034240723;30.0;29.0;
0.8802831172943115;30.0;29.0;
0.8836460113525391;30.0;29.0;
0.8870010375976562;30.0;29.0;
0.8903501033782959;30.0;29.0;
0.8937621116638184;30.0;29.0;
0.8971560001373291;30.0;29.0;
0.9005281925201416;30.0;29.0;
0.025591135025024414;30.0;29.0;
0.9073162078857422;30.0;29.0;
0.9106690883636475;30.0;29.0;
0.914046049118042;30.0;29.0;
0.9174301624298096;30.0;29.0;
0.9208030700683594;30.0;29.0;
0.9242181777954102;30.0;29.0;
0.9276080131530762;31.0;29.0;
0.9310140609741211;31.0;29.0;
0.9343981742858887;31.0;29.0;
0.9378540515899658;31.0;29.0;
0.9413580894470215;31.0;29.0;
0.9447510242462158;31.0;29.0;
0.9300150871276855;31.0;29.0;
0.9516100883483887;31.0;29.0;
0.9307010173797607;31.0;29.0;
0.9584112167358398;31.0;29.0;
0.9617681503295898;31.0;29.0;
0.9651551246643066;31.0;29.0;
0.9685750007629395;31.0;29.0;
0.9323952198028564;31.0;29.0;
0.9754340648651123;31.0;29.0;
0.9788391590118408;31.0;29.0;
0.9822120666503906;31.0;29.0;
0.9855961799621582;31.0;29.0;
0.9889430999755859;31.0;29.0;
0.9923131465911865;31.0;29.0;
0.9957010746002197;31.0;29.0;
0.9351041316986084;31.0;29.0;
1.0024080276489258;31.0;29.0;
1.0058140754699707;31.0;29.0;
1.0093600749969482;31.0;29.0;
1.0127360820770264;31.0;29.0;
1.016118049621582;31.0;29.0;
1.0195012092590332;31.0;29.0;
1.022923231124878;31.0;29.0;
1.0262641906738281;31.0;29.0;
1.0296401977539062;31.0;29.0;
1.0329911708831787;31.0;29.0;
1.0363399982452393;31.0;29.0;
1.0397121906280518;31.0;29.0;
1.0430819988250732;31.0;29.0;
1.0464541912078857;31.0;29.0;
1.0498661994934082;31.0;29.0;
1.0532541275024414;31.0;29.0;
