('192.168.70.129', 44616, '12.1.1.151', 10000);('192.168.70.129', 44616, '12.1.1.151', 10000);
0.11950087547302246;207868.44444444444;
0.3195009231567383;337105.02752293576;
0.5195009708404541;394739.5254237288;
0.7195010185241699;462911.00775193796;
0.9195010662078857;530323.649122807;
1.1195011138916016;582344.2285714286;
1.3195011615753174;644265.974025974;
1.5195012092590332;712029.8666666667;
1.719501256942749;782025.3090909091;
1.9195013046264648;842051.490909091;
2.1195013523101807;905447.5636363636;
2.3195013999938965;964341.4311926606;
2.5195014476776123;1028053.9099099099;
2.719501495361328;1089985.094017094;
2.919501543045044;1161746.4888888889;
3.1195015907287598;1218221.8507462686;
3.3195016384124756;1275033.4246575343;
3.5195016860961914;1347704.341880342;
3.7195017337799072;1410480.1415929203;
3.919501781463623;1473320.7787610618;
4.119501829147339;1532163.3982300884;
4.319501876831055;1597677.4736842106;
4.5195019245147705;1657339.4285714286;
4.719501972198486;1725501.1555555556;
4.919502019882202;1792771.2542372881;
5.119502067565918;1843464.888888889;
5.319502115249634;1906663.7837837837;
5.51950216293335;1981883.392;
5.719502210617065;2042996.3636363635;
5.919502258300781;2104771.4285714286;
6.119502305984497;2167792.136752137;
6.319502353668213;2226253.5045871558;
6.519502401351929;2290685.192982456;
6.7195024490356445;2351454.655462185;
6.91950249671936;2423538.285714286;
7.119502544403076;2480796.342857143;
7.319502592086792;2541297.92;
7.519502639770508;2616686.592;
7.719502687454224;2685116.472440945;
7.9195027351379395;2754656.5161290322;
8.119502782821655;2823161.212121212;
8.319502830505371;2893197.419354839;
8.519502878189087;2961732.465116279;
8.719502925872803;3037442.3188405796;
8.919502973556519;3118140.2352941176;
9.119503021240234;3253370.3401360544;
9.31950306892395;3438978.3880597013;
9.519503116607666;3605746.643478261;
9.719503164291382;3789665.6551724137;
9.919503211975098;3999132.824427481;
10.119503259658813;4198500.9655172415;
10.31950330734253;4412530.554621848;
10.519503355026245;4655690.4186046515;
10.719503402709961;4855144.0;
10.919503450393677;5116034.986666666;
11.119503498077393;5421312.0;
11.319503545761108;5706434.748466258;
11.519503593444824;5981839.2835820895;
11.71950364112854;6259627.7894736845;
11.919503688812256;6537439.044776119;
12.119503736495972;6856832.0;
12.319503784179688;7178297.469387755;
12.519503831863403;7508112.122137405;
12.71950387954712;7812292.110091743;
12.919503927230835;8156287.204968944;
13.11950397491455;8561179.90521327;
13.319504022598267;8951496.328767123;
13.519504070281982;9311337.576642336;
13.719504117965698;9676115.2;
13.919504165649414;10075325.268292682;
14.11950421333313;10509040.081218274;
14.319504261016846;10824979.496688742;
14.519504308700562;11270686.157068063;
14.719504356384277;11727104.780487806;
14.919504404067993;12157196.097560976;
15.119504451751709;12591281.454545455;
15.319504499435425;12987461.51724138;
15.51950454711914;13437780.705882354;
15.719504594802856;13917876.413793104;
15.919504642486572;14410276.398104265;
16.119504690170288;14847757.929411765;
16.319504737854004;15328813.52112676;
16.51950478553772;15792418.253521128;
16.719504833221436;16256757.183098592;
16.91950488090515;16730739.891891891;
17.119504928588867;16648767.255813954;
17.319504976272583;16661162.126582278;
17.5195050239563;18254986.54117647;
17.719505071640015;18997335.493670885;
17.91950511932373;19645050.268656716;
18.119505167007446;20112065.28;
18.319505214691162;19180480.0;
18.519505262374878;17952576.0;
18.719505310058594;16724672.0;
18.91950535774231;19494775.865707435;
19.119505405426025;22456821.333333332;
19.31950545310974;20883328.0;
19.519505500793457;19366039.272727273;
19.719505548477173;17966784.0;
19.91950559616089;16808384.0;
20.119505643844604;20465712.311284047;
20.31950569152832;24286080.0;
20.519505739212036;23023424.0;
20.719505786895752;21795520.0;
20.919505834579468;20567616.0;
21.119505882263184;19339712.0;
21.3195059299469;18111808.0;
21.519505977630615;16756480.0;
21.71950602531433;20528886.47082495;
21.919506072998047;24412864.0;
22.119506120681763;22971445.818181816;
22.31950616836548;22686848.0;
22.519506216049194;22686848.0;
22.71950626373291;22686848.0;
22.919506311416626;22686848.0;
23.119506359100342;22686848.0;
23.319506406784058;22686848.0;
23.519506454467773;22686848.0;
23.71950650215149;22686848.0;
23.919506549835205;22686848.0;
24.11950659751892;22676808.533333335;
24.319506645202637;18412254.757281553;
24.519506692886353;19230961.8028169;
24.71950674057007;16714494.724252492;
24.919506788253784;15947117.155555556;
25.1195068359375;17915982.53559322;
25.319506883621216;18878880.226950355;
25.51950693130493;18163712.0;
25.719506978988647;16727296.0;
25.919507026672363;16917084.527131785;
26.11950707435608;19160688.973913044;
26.319507122039795;19277939.2;
26.51950716972351;19420487.66197183;
26.719507217407227;19134669.432098765;
26.919507265090942;17554240.0;
27.119507312774658;17534345.739130434;
27.319507360458374;20134021.44680851;
27.51950740814209;20328647.401360545;
27.719507455825806;20427072.0;
27.91950750350952;19465600.0;
28.119507551193237;18255385.0;
28.319507598876953;16785216.0;
28.51950764656067;18755282.363636363;
28.719507694244385;21452277.16923077;
28.9195077419281;21452376.17777778;
29.119507789611816;20150592.0;
29.319507837295532;18772096.0;
29.519507884979248;17347264.0;
29.719507932662964;18871490.321243525;
29.91950798034668;22494515.51219512;
30.119508028030396;22098152.0;
30.31950807571411;20981041.08737864;
30.519508123397827;20938304.0;
30.719508171081543;20938304.0;
30.91950821876526;20938304.0;
31.119508266448975;20938304.0;
31.31950831413269;20938304.0;
31.519508361816406;20938304.0;
31.719508409500122;20938304.0;
31.919508457183838;20938304.0;
32.119508504867554;20938304.0;
32.31950855255127;20938304.0;
32.519508600234985;20938304.0;
32.7195086479187;20938304.0;
32.91950869560242;20938304.0;
