('192.168.70.129', 57144, '12.1.1.159', 10000);('192.168.70.129', 57144, '12.1.1.159', 10000);('192.168.70.129', 57144, '12.1.1.159', 10000);('192.168.70.129', 45810, '12.1.1.159', 10001);('192.168.70.129', 45810, '12.1.1.159', 10001);('192.168.70.129', 45810, '12.1.1.159', 10001);('192.168.70.129', 57148, '12.1.1.159', 10000);('192.168.70.129', 57148, '12.1.1.159', 10000);('192.168.70.129', 57148, '12.1.1.159', 10000);('192.168.70.129', 45814, '12.1.1.159', 10001);('192.168.70.129', 45814, '12.1.1.159', 10001);('192.168.70.129', 45814, '12.1.1.159', 10001);
;;;;;;72736.703595;105.0;29.0;72736.703595;1220.0;1980.0;
;;;;;;72736.807478;105.0;29.0;72736.807478;1220.0;1980.0;
;;;;;;72736.911492;105.0;29.0;72736.911492;1220.0;1980.0;
;;;;;;72737.015456;105.0;29.0;72737.015456;1222.0;1980.0;
;;;;;;72737.137332;105.0;29.0;72737.137332;1283.0;1980.0;
;;;;;;72737.241272;105.0;29.0;72737.241272;1358.0;1980.0;
;;;;;;72737.345176;105.0;29.0;72737.345176;1402.0;1980.0;
;;;;;;72737.449051;124.0;29.0;72737.449051;1980.0;1980.0;
;;;;;;72737.553102;156.0;29.0;72737.553102;1980.0;1980.0;
;;;;;;72737.657006;157.0;29.0;72737.657006;1980.0;1980.0;
;;;;;;72737.760991;157.0;29.0;72737.760991;1980.0;1980.0;
;;;;;;72737.864867;157.0;29.0;72737.864867;1980.0;1980.0;
;;;;;;72737.968642;157.0;29.0;72737.968642;1980.0;1980.0;
;;;;;;72738.072455;157.0;29.0;72738.072455;1980.0;1980.0;
;;;;;;72738.176367;157.0;29.0;72738.176367;1980.0;1980.0;
;;;;;;72738.280287;157.0;29.0;72738.280287;1980.0;1980.0;
;;;;;;72738.384129;157.0;29.0;72738.384129;1980.0;1980.0;
;;;;;;72738.488043;157.0;29.0;72738.488043;1980.0;1980.0;
;;;;;;72738.591847;157.0;29.0;72738.591847;1980.0;1980.0;
;;;;;;72738.695694;157.0;29.0;72738.695694;1980.0;1980.0;
;;;;;;72738.799481;157.0;29.0;72738.799481;1980.0;1980.0;
;;;;;;72738.903227;157.0;29.0;72738.903227;1980.0;1980.0;
;;;;;;72739.00709;157.0;29.0;72739.00709;1980.0;1980.0;
;;;;;;72739.110958;157.0;29.0;72739.110958;1980.0;1980.0;
;;;;;;72739.214901;157.0;29.0;72739.214901;1980.0;1980.0;
;;;;;;72739.318856;157.0;29.0;72739.318856;1980.0;1980.0;
;;;;;;72739.422714;157.0;29.0;72739.422714;1980.0;1980.0;
;;;;;;72739.526513;157.0;29.0;72739.526513;1980.0;1980.0;
;;;;;;72739.63053;157.0;29.0;72739.63053;1980.0;1980.0;
;;;;;;72739.734341;157.0;29.0;72739.734341;1980.0;1980.0;
;;;;;;72739.838268;157.0;29.0;72739.838268;1980.0;1980.0;
;;;;;;72739.942062;157.0;29.0;72739.942062;1980.0;1980.0;
;;;;;;72740.046099;157.0;29.0;72740.046099;1980.0;1980.0;
;;;;;;72740.150418;158.0;29.0;72740.150418;1980.0;1980.0;
;;;;;;72740.25437;188.0;29.0;72740.25437;1980.0;1980.0;
;;;;;;72740.358329;229.0;29.0;72740.358329;1980.0;1980.0;
;;;;;;72740.462169;236.0;29.0;72740.462169;1980.0;1980.0;
;;;;;;72740.566031;236.0;29.0;72740.566031;1980.0;1980.0;
;;;;;;72740.669894;236.0;29.0;72740.669894;1980.0;1980.0;
;;;;;;72740.773695;236.0;29.0;72740.773695;1980.0;1980.0;
;;;;;;72740.87767;236.0;29.0;72740.87767;1428.0;990.0;
;;;;;;72740.98164;236.0;29.0;72740.98164;1390.0;990.0;
;;;;;;72741.085579;236.0;29.0;72741.085579;1366.0;990.0;
;;;;;;72741.189519;236.0;29.0;72741.189519;1320.0;990.0;
;;;;;;72741.293312;236.0;29.0;72741.293312;1268.0;990.0;
;;;;;;72741.397324;236.0;29.0;72741.397324;1249.0;990.0;
;;;;;;72741.501217;236.0;29.0;72741.501217;1188.0;990.0;
;;;;;;72741.605261;236.0;29.0;72741.605261;1152.0;990.0;
;;;;;;72741.709204;236.0;29.0;72741.709204;985.0;990.0;
;;;;;;72741.813043;243.0;181.0;72741.813043;970.0;990.0;
;;;;;;72741.91702;243.0;181.0;72741.91702;970.0;990.0;
;;;;;;72742.020883;243.0;181.0;72742.020883;970.0;990.0;
;;;;;;72742.129063;243.0;181.0;72742.129063;907.0;990.0;
;;;;;;72742.23287;243.0;181.0;72742.23287;839.0;990.0;
;;;;;;72742.336797;243.0;181.0;72742.336797;769.0;990.0;
;;;;;;72742.440794;243.0;181.0;72742.440794;698.0;990.0;
;;;;;;72742.544772;243.0;181.0;72742.544772;629.0;990.0;
;;;;;;72742.64868;243.0;181.0;72742.64868;560.0;990.0;
;;;;;;72742.752575;243.0;181.0;72742.752575;492.0;990.0;
;;;;;;72742.856416;243.0;181.0;72742.856416;332.0;990.0;
;;;;;;72742.96034;243.0;181.0;72742.96034;990.0;990.0;
;;;;;;72743.064342;243.0;181.0;72743.064342;990.0;990.0;
;;;;;;72743.168122;243.0;181.0;72743.168122;990.0;990.0;
;;;;;;72743.271925;243.0;181.0;72743.271925;990.0;990.0;
;;;;;;72743.375813;244.0;181.0;72743.375813;990.0;990.0;
;;;;;;72743.479767;244.0;181.0;72743.479767;990.0;990.0;
;;;;;;72743.583554;244.0;181.0;72743.583554;990.0;990.0;
;;;;;;72743.687445;244.0;181.0;72743.687445;990.0;990.0;
;;;;;;72743.791195;244.0;181.0;72743.791195;990.0;990.0;
;;;;;;72743.895005;244.0;181.0;72743.895005;990.0;990.0;
;;;;;;72743.998977;244.0;181.0;72743.998977;990.0;990.0;
;;;;;;72744.102925;244.0;181.0;72744.102925;990.0;990.0;
;;;;;;72744.206924;244.0;181.0;72744.206924;990.0;990.0;
;;;;;;72744.310823;244.0;181.0;72744.310823;930.0;495.0;
;;;;;;72744.414694;244.0;181.0;72744.414694;907.0;495.0;
;;;;;;72744.518509;244.0;181.0;72744.518509;885.0;495.0;
;;;;;;72744.622251;245.0;181.0;72744.622251;832.0;495.0;
;;;;;;72744.726261;245.0;181.0;72744.726261;783.0;495.0;
;;;;;;72744.830247;248.0;181.0;72744.830247;780.0;495.0;
;;;;;;72744.934162;250.0;181.0;72744.934162;780.0;495.0;
;;;;;;72745.037956;251.0;181.0;72745.037956;773.0;495.0;
;;;;;;72745.141866;252.0;181.0;72745.141866;733.0;495.0;
;;;;;;72745.245861;252.0;181.0;72745.245861;692.0;495.0;
;;;;;;72745.349795;252.0;181.0;72745.349795;654.0;495.0;
;;;;;;72745.453672;252.0;181.0;72745.453672;614.0;495.0;
;;;;;;72745.557498;252.0;181.0;72745.557498;574.0;495.0;
;;;;;;72745.661433;252.0;181.0;72745.661433;533.0;495.0;
;;;;;;72745.765381;252.0;181.0;72745.765381;495.0;495.0;
;;;;;;72745.869359;252.0;181.0;72745.869359;495.0;495.0;
;;;;;;72745.973096;252.0;181.0;72745.973096;495.0;495.0;
;;;;;;72746.076891;255.0;181.0;72746.076891;495.0;495.0;
;;;;;;72746.180801;262.0;181.0;72746.180801;495.0;495.0;
;;;;;;72746.284546;267.0;181.0;72746.284546;495.0;495.0;
;;;;;;72746.388431;269.0;181.0;72746.388431;495.0;495.0;
;;;;;;72746.492429;269.0;181.0;72746.492429;495.0;495.0;
;;;;;;72746.596223;269.0;181.0;72746.596223;495.0;495.0;
;;;;;;72746.700069;269.0;181.0;72746.700069;495.0;495.0;
;;;;;;72746.80406;269.0;181.0;72746.80406;496.0;495.0;
;;;;;;72746.908067;270.0;181.0;72746.908067;496.0;495.0;
;;;;;;72747.011885;281.0;181.0;72747.011885;496.0;495.0;
;;;;;;72747.1158;289.0;181.0;72747.1158;496.0;495.0;
;;;;;;72747.229223;291.0;181.0;72747.229223;496.0;495.0;
;;;;;;72747.333243;291.0;181.0;72747.333243;496.0;495.0;
;;;;;;72747.437057;291.0;181.0;72747.437057;496.0;495.0;
;;;;;;72747.540843;291.0;181.0;72747.540843;496.0;495.0;
;;;;;;72747.644669;291.0;181.0;72747.644669;497.0;495.0;
;;;;;;72747.748601;295.0;181.0;72747.748601;497.0;495.0;
;;;;;;72747.852496;302.0;181.0;72747.852496;497.0;495.0;
;;;;;;72747.956355;314.0;181.0;72747.956355;497.0;495.0;
;;;;;;72748.060259;320.0;181.0;72748.060259;497.0;495.0;
;;;;;;72748.164202;320.0;181.0;72748.164202;497.0;495.0;
;;;;;;72748.268103;320.0;181.0;72748.268103;497.0;495.0;
;;;;;;72748.372018;320.0;181.0;72748.372018;497.0;495.0;
;;;;;;72748.475854;320.0;181.0;72748.475854;497.0;495.0;
;;;;;;72748.57982;321.0;181.0;72748.57982;498.0;495.0;
;;;;;;72748.68371;329.0;181.0;72748.68371;498.0;495.0;
;;;;;;72748.787667;342.0;181.0;72748.787667;498.0;495.0;
;;;;;;72748.891669;353.0;181.0;72748.891669;498.0;495.0;
;;;;;;72748.995697;362.0;181.0;72748.995697;498.0;495.0;
;;;;;;72749.099678;363.0;181.0;72749.099678;498.0;495.0;
;;;;;;72749.203686;363.0;181.0;72749.203686;498.0;495.0;
;;;;;;72749.307667;363.0;181.0;72749.307667;498.0;495.0;
;;;;;;72749.41156;363.0;181.0;72749.41156;498.0;495.0;
;;;;;;72749.515433;364.0;181.0;72749.515433;499.0;495.0;
;;;;;;72749.619281;374.0;181.0;72749.619281;499.0;495.0;
;;;;;;72749.723121;390.0;181.0;72749.723121;499.0;495.0;
;;;;;;72749.827357;405.0;181.0;72749.827357;499.0;495.0;
;;;;;;72749.931566;416.0;181.0;72749.931566;499.0;495.0;
;;;;;;72750.035486;420.0;181.0;72750.035486;499.0;495.0;
;;;;;;72750.139325;420.0;181.0;72750.139325;499.0;495.0;
;;;;;;72750.243671;420.0;181.0;72750.243671;499.0;495.0;
;;;;;;72750.347924;420.0;181.0;72750.347924;499.0;495.0;
;;;;;;72750.451988;421.0;181.0;72750.451988;500.0;495.0;
;;;;;;72750.555943;421.0;181.0;72750.555943;500.0;495.0;
;;;;;;72750.65983;446.0;181.0;72750.65983;500.0;495.0;
;;;;;;72750.76377;463.0;181.0;72750.76377;500.0;495.0;
;;;;;;72750.86778;479.0;181.0;72750.86778;500.0;495.0;
;;;;;;72750.971754;493.0;181.0;72750.971754;500.0;495.0;
;;;;;;72751.075826;498.0;181.0;72751.075826;500.0;495.0;
;;;;;;72751.179846;498.0;181.0;72751.179846;500.0;495.0;
;;;;;;72751.283803;498.0;181.0;72751.283803;500.0;495.0;
;;;;;;72751.387731;498.0;181.0;72751.387731;500.0;495.0;
;;;;;;72751.491749;499.0;181.0;72751.491749;501.0;495.0;
;;;;;;72751.595737;511.0;181.0;72751.595737;501.0;495.0;
;;;;;;72751.699795;523.0;181.0;72751.699795;501.0;495.0;
;;;;;;72751.80398;553.0;181.0;72751.80398;501.0;495.0;
;;;;;;72751.907996;571.0;181.0;72751.907996;501.0;495.0;
;;;;;;72752.011958;588.0;181.0;72752.011958;501.0;495.0;
;;;;;;72752.115884;600.0;181.0;72752.115884;501.0;495.0;
;;;;;;72752.21989;601.0;181.0;72752.21989;501.0;495.0;
;;;;;;72752.332408;601.0;181.0;72752.332408;501.0;495.0;
;;;;;;72752.43649;602.0;181.0;72752.43649;501.0;495.0;
;;;;;;72752.540294;602.0;181.0;72752.540294;502.0;495.0;
;;;;;;72752.644264;606.0;181.0;72752.644264;502.0;495.0;
;;;;;;72752.748156;632.0;181.0;72752.748156;502.0;495.0;
;;;;;;72752.852016;645.0;181.0;72752.852016;502.0;495.0;
;;;;;;72752.956061;658.0;181.0;72752.956061;502.0;495.0;
;;;;;;72753.059886;696.0;181.0;72753.059886;502.0;495.0;
;;;;;;72753.163849;715.0;181.0;72753.163849;502.0;495.0;
;;;;;;72753.267863;735.0;181.0;72753.267863;502.0;495.0;
;;;;;;72753.371852;743.0;181.0;72753.371852;502.0;495.0;
;;;;;;72753.475915;743.0;181.0;72753.475915;502.0;495.0;
;;;;;;72753.579862;743.0;181.0;72753.579862;502.0;495.0;
;;;;;;72753.683846;743.0;181.0;72753.683846;502.0;495.0;
;;;;;;72753.78787;745.0;181.0;72753.78787;503.0;495.0;
;;;;;;72753.891777;761.0;181.0;72753.891777;503.0;495.0;
;;;;;;72753.995823;790.0;181.0;72753.995823;503.0;495.0;
;;;;;;72754.099843;803.0;181.0;72754.099843;503.0;495.0;
;;;;;;72754.203692;839.0;181.0;72754.203692;503.0;495.0;
;;;;;;72754.307713;866.0;181.0;72754.307713;503.0;495.0;
;;;;;;72754.411658;888.0;181.0;72754.411658;503.0;495.0;
;;;;;;72754.515553;909.0;181.0;72754.515553;503.0;495.0;
;;;;;;72754.619777;928.0;181.0;72754.619777;503.0;495.0;
;;;;;;72754.723851;935.0;181.0;72754.723851;503.0;495.0;
