('192.168.70.129', 54580, '12.1.1.158', 10000);('192.168.70.129', 54580, '12.1.1.158', 10000);('192.168.70.129', 34890, '12.1.1.158', 10001);('192.168.70.129', 34890, '12.1.1.158', 10001);
1685948848.15207;0.0;1685948848.15207;0.0;
1685948848.35207;0.0;1685948848.35207;0.0;
1685948848.5520701;2896.0;1685948848.5520701;3243.52;
1685948848.7520702;3861.3333333333335;1685948848.7520702;234.02020202020202;
1685948848.9520702;3861.3333333333335;1685948848.9520702;1158.4;
1685948849.1520703;0;1685948849.1520703;3077.0;
1685948849.3520703;3089.0666666666666;1685948849.3520703;4420.946859903382;
1685948849.5520704;0.0;1685948849.5520704;263.27272727272725;
1685948849.7520704;0;1685948849.7520704;839.4202898550725;
1685948849.9520705;0;1685948849.9520705;4109.041509433962;
1685948850.1520705;1390.08;1685948850.1520705;2128.6837606837607;
1685948850.3520706;3309.714285714286;1685948850.3520706;416.6906474820144;
1685948850.5520706;0;1685948850.5520706;179.5968992248062;
1685948850.7520707;0;1685948850.7520707;0.0;
1685948850.9520707;0;1685948850.9520707;2811.650485436893;
1685948851.1520708;0;1685948851.1520708;4172.731182795699;
1685948851.3520708;0;1685948851.3520708;3839.6404494382023;
1685948851.5520709;0;1685948851.5520709;3861.3333333333335;
1685948851.752071;0;1685948851.752071;3882.905027932961;
1685948851.952071;0;1685948851.952071;3839.6404494382023;
1685948852.152071;1390.08;1685948852.152071;3804.963503649635;
1685948852.352071;0.0;1685948852.352071;4716.838323353293;
1685948852.552071;0;1685948852.552071;4224.0;
1685948852.7520711;0.0;1685948852.7520711;4110.451612903225;
1685948852.9520712;0;1685948852.9520712;4271.195530726257;
1685948853.1520712;0;1685948853.1520712;4431.03825136612;
1685948853.3520713;0;1685948853.3520713;3959.8367346938776;
1685948853.5520713;0;1685948853.5520713;3861.3333333333335;
1685948853.7520714;0;1685948853.7520714;4427.392670157068;
1685948853.9520714;0;1685948853.9520714;4110.451612903225;
1685948854.1520715;0;1685948854.1520715;3840.6844919786095;
1685948854.3520715;0;1685948854.3520715;4530.055865921788;
1685948854.5520716;0;1685948854.5520716;673284.6829268293;
1685948854.7520716;2542.829268292683;1685948854.7520716;2450016.0;
1685948854.9520717;0;1685948854.9520717;3452032.0;
1685948855.1520717;0;1685948855.1520717;4766816.0;
1685948855.3520718;0;1685948855.3520718;6075808.0;
1685948855.5520718;0;1685948855.5520718;7396384.0;
1685948855.7520719;0;1685948855.7520719;11360330.867924528;
1685948855.952072;0;1685948855.952072;13347904.0;
1685948856.152072;0;1685948856.152072;14529472.0;
1685948856.352072;0;1685948856.352072;15676288.0;
1685948856.552072;0;1685948856.552072;16770976.0;
1685948856.752072;0;1685948856.752072;17865664.0;
1685948856.9520721;0;1685948856.9520721;21619064.85106383;
1685948857.1520722;1460.1680672268908;1685948857.1520722;22158156.57142857;
1685948857.3520722;3159.2727272727275;1685948857.3520722;20302127.844660193;
1685948857.5520723;0;1685948857.5520723;13431681.142857144;
1685948857.7520723;0;1685948857.7520723;12047350.344827587;
1685948857.9520724;0;1685948857.9520724;6767504.774193549;
1685948858.1520724;0;1685948858.1520724;2383772.6814814815;
1685948858.3520725;2438.7368421052633;1685948858.3520725;1033467.9069767442;
1685948858.5520725;1158.4;1685948858.5520725;3861.3333333333335;
1685948858.7520726;0;1685948858.7520726;4450.694736842105;
1685948858.9520726;0;1685948858.9520726;4163.834101382488;
1685948859.1520727;0;1685948859.1520727;4243.6435643564355;
1685948859.3520727;0;1685948859.3520727;3861.3333333333335;
1685948859.5520728;0;1685948859.5520728;4081.980952380952;
1685948859.7520728;0;1685948859.7520728;3861.3333333333335;
1685948859.9520729;0;1685948859.9520729;3845.109243697479;
1685948860.152073;0;1685948860.152073;3861.3333333333335;
1685948860.352073;0;1685948860.352073;5439.082437275985;
1685948860.552073;0;1685948860.552073;4400.124031007752;
1685948860.752073;0;1685948860.752073;4794.84249084249;
1685948860.952073;2298.4126984126983;1685948860.952073;4593.6551724137935;
1685948861.1520731;3861.3333333333335;1685948861.1520731;4527.080459770115;
1685948861.3520732;0;1685948861.3520732;4252.867132867133;
1685948861.5520732;0;1685948861.5520732;155579.01016949152;
1685948861.7520733;0;1685948861.7520733;2494893.714285714;
1685948861.9520733;0;1685948861.9520733;4350016.0;
1685948862.1520734;0;1685948862.1520734;5965984.0;
1685948862.3520734;0;1685948862.3520734;7371526.1217391305;
1685948862.5520735;0;1685948862.5520735;9533649.142857144;
1685948862.7520735;439.8987341772152;1685948862.7520735;10321568.0;
1685948862.9520736;0.0;1685948862.9520736;0;
1685948863.1520736;1594.1284403669724;1685948863.1520736;10715424.0;
1685948863.3520737;0;1685948863.3520737;11584224.0;
1685948863.5520737;0;1685948863.5520737;12812128.0;
1685948863.7520738;0;1685948863.7520738;14068992.0;
1685948863.9520738;0;1685948863.9520738;15488032.0;
1685948864.1520739;0;1685948864.1520739;17753423.00689655;
1685948864.352074;0;1685948864.352074;17558064.10738255;
1685948864.552074;2739.4594594594596;1685948864.552074;10379763.310344828;
1685948864.752074;4945.9775280898875;1685948864.752074;0;
1685948864.952074;3885.772151898734;1685948864.952074;2578389.5081967213;
1685948865.152074;0;1685948865.152074;698852.4556962026;
1685948865.3520741;0;1685948865.3520741;4168.484848484848;
1685948865.5520742;0;1685948865.5520742;4212.363636363636;
1685948865.7520742;0;1685948865.7520742;3861.3333333333335;
1685948865.9520743;0;1685948865.9520743;4301.411764705882;
1685948866.1520743;2457.212121212121;1685948866.1520743;3861.3333333333335;
1685948866.3520744;1332.6725663716813;1685948866.3520744;0;
1685948866.5520744;3861.3333333333335;1685948866.5520744;0;
1685948866.7520745;4107.054545454545;1685948866.7520745;3093.863354037267;
1685948866.9520745;0;1685948866.9520745;3846.9253731343283;
1685948867.1520746;0;1685948867.1520746;3861.3333333333335;
1685948867.3520746;0;1685948867.3520746;3861.3333333333335;
1685948867.5520747;0;1685948867.5520747;3861.3333333333335;
1685948867.7520747;1625.8245614035088;1685948867.7520747;4202.567441860465;
1685948867.9520748;1056.29179331307;1685948867.9520748;0;
1685948868.1520748;827.4285714285714;1685948868.1520748;0;
1685948868.3520749;4083.2490421455936;1685948868.3520749;0;
1685948868.552075;4512.642570281125;1685948868.552075;0;
1685948868.752075;4170.24;1685948868.752075;2014.608695652174;
1685948868.952075;0;1685948868.952075;4177.130111524164;
1685948869.152075;0;1685948869.152075;4204.2316602316605;
1685948869.352075;0;1685948869.352075;4598.89138576779;
1685948869.5520751;0;1685948869.5520751;3875.6877323420076;
1685948869.7520752;0;1685948869.7520752;4152.754716981132;
1685948869.9520752;4554.873786407767;1685948869.9520752;4937.44262295082;
1685948870.1520753;0.0;1685948870.1520753;0;
1685948870.3520753;3675.244979919679;1685948870.3520753;0;
1685948870.5520754;4072.5;1685948870.5520754;0;
1685948870.7520754;4121.647940074907;1685948870.7520754;0;
1685948870.9520755;4499.9384615384615;1685948870.9520755;0;
1685948871.1520755;4439.124087591241;1685948871.1520755;0;
1685948871.3520756;3834.1408450704225;1685948871.3520756;3801.0;
1685948871.5520756;0;1685948871.5520756;4333.274074074074;
1685948871.7520757;0;1685948871.7520757;4562.03861003861;
1685948871.9520757;0;1685948871.9520757;3861.3333333333335;
1685948872.1520758;0;1685948872.1520758;4137.142857142857;
1685948872.3520758;0;1685948872.3520758;4156.091603053435;
1685948872.5520759;3407.0588235294117;1685948872.5520759;2896.0;
1685948872.752076;4677.313207547169;1685948872.752076;0;
1685948872.952076;4323.014492753623;1685948872.952076;0;
1685948873.152076;4269.870307167235;1685948873.152076;0;
1685948873.352076;4557.763440860215;1685948873.352076;0;
1685948873.552076;4449.217993079585;1685948873.552076;0;
1685948873.7520761;4772.281690140845;1685948873.7520761;0;
1685948873.9520762;4477.50354609929;1685948873.9520762;0;
1685948874.1520762;4085.6431535269708;1685948874.1520762;1053.090909090909;
1685948874.3520763;0.0;1685948874.3520763;4617.398601398601;
1685948874.5520763;0;1685948874.5520763;4416.920863309352;
1685948874.7520764;0;1685948874.7520764;5062.637037037037;
1685948874.9520764;0;1685948874.9520764;4270.014598540146;
1685948875.1520765;0;1685948875.1520765;4650.20788530466;
1685948875.3520765;4032.948148148148;1685948875.3520765;3982.0;
1685948875.5520766;4746.827067669173;1685948875.5520766;0;
1685948875.7520766;118494.66666666667;1685948875.7520766;0;
1685948875.9520767;3178926.9873417723;1685948875.9520767;0;
1685948876.1520767;5062432.0;1685948876.1520767;0;
1685948876.3520768;6962208.0;1685948876.3520768;0;
1685948876.5520768;9900085.410071943;1685948876.5520768;0;
1685948876.7520769;12962720.0;1685948876.7520769;3245.75845410628;
1685948876.952077;0;1685948876.952077;3861.3333333333335;
1685948877.152077;0;1685948877.152077;3879.5471698113206;
1685948877.352077;0;1685948877.352077;4399.692307692308;
1685948877.552077;0;1685948877.552077;4262.037735849057;
1685948877.752077;0;1685948877.752077;4253.062801932367;
1685948877.9520772;13020640.0;1685948877.9520772;4068.5268292682927;
1685948878.1520772;13860480.0;1685948878.1520772;0.0;
1685948878.3520772;15551744.0;1685948878.3520772;0;
1685948878.5520773;17266176.0;1685948878.5520773;0;
1685948878.7520773;20528359.111111112;1685948878.7520773;0;
1685948878.9520774;22164342.120805368;1685948878.9520774;0;
1685948879.1520774;15653041.641025642;1685948879.1520774;2534.0;
1685948879.3520775;0;1685948879.3520775;3861.3333333333335;
1685948879.5520775;0;1685948879.5520775;3879.2930232558138;
1685948879.7520776;0;1685948879.7520776;3861.3333333333335;
1685948879.9520776;0;1685948879.9520776;3843.2897196261683;
1685948880.1520777;0;1685948880.1520777;3861.3333333333335;
1685948880.3520777;0;1685948880.3520777;3879.2930232558138;
1685948880.5520778;13042176.59813084;1685948880.5520778;3861.3333333333335;
1685948880.7520778;9411168.0;1685948880.7520778;0;
1685948880.9520779;2545720.282352941;1685948880.9520779;0;
1685948881.152078;539012.142394822;1685948881.152078;0;
1685948881.352078;4071.1884057971015;1685948881.352078;0;
1685948881.552078;4430.371929824561;1685948881.552078;0;
1685948881.752078;3861.3333333333335;1685948881.752078;4259.408934707903;
1685948881.952078;0;1685948881.952078;4609.959183673469;
1685948882.1520782;0;1685948882.1520782;4375.251798561151;
1685948882.3520782;0;1685948882.3520782;4518.581560283688;
1685948882.5520782;0;1685948882.5520782;4193.4910394265235;
1685948882.7520783;4024.9491525423728;1685948882.7520783;3861.3333333333335;
