Throughput;Throughput;Sending Rate;Sending Rate;
0.15603017807006836;0.5309838524117213;0.15603017807006836;0.5115921497513356;
0.3560302257537842;0.5;0.3560302257537842;0.5;
0.5560302734375;0.5;0.5560302734375;0.5;
0.7560303211212158;0.5;0.7560303211212158;0.5;
0.9560303688049316;0.5;0.9560303688049316;0.5;
1.1560304164886475;0.5;1.1560304164886475;0.5;
1.3560304641723633;0.5;1.3560304641723633;0.5;
1.556030511856079;0.5;1.556030511856079;0.5;
1.756030559539795;0.5;1.756030559539795;0.5;
1.9560306072235107;0.5;1.9560306072235107;0.5;
2.1560306549072266;0.5;2.1560306549072266;0.5;
2.3560307025909424;0.5;2.3560307025909424;0.5;
2.556030750274658;0.5;2.556030750274658;0.5;
2.756030797958374;0.5;2.756030797958374;0.5;
2.95603084564209;0.5;2.95603084564209;0.5;
3.1560308933258057;0.5;3.1560308933258057;0.5;
3.3560309410095215;0.5;3.3560309410095215;0.5;
3.5560309886932373;0.5;3.5560309886932373;0.5;
3.756031036376953;0.5;3.756031036376953;0.5;
3.956031084060669;0.5;3.956031084060669;0.5;
4.156031131744385;0.5;4.156031131744385;0.5;
4.356031179428101;0.5;4.356031179428101;0.5;
4.556031227111816;0.5;4.556031227111816;0.5;
4.756031274795532;0.5;4.756031274795532;0.5;
4.956031322479248;0.5;4.956031322479248;0.5;
5.156031370162964;0.5;5.156031370162964;0.5;
5.35603141784668;0.5;5.35603141784668;0.5;
5.5560314655303955;0.5;5.5560314655303955;0.5;
5.756031513214111;0.5;5.756031513214111;0.5;
5.956031560897827;0.5;5.956031560897827;0.5;
6.156031608581543;0.5;6.156031608581543;0.5;
6.356031656265259;0.5;6.356031656265259;0.5;
6.556031703948975;0.5;6.556031703948975;0.5;
6.75603175163269;0.5;6.75603175163269;0.5;
6.956031799316406;0.5;6.956031799316406;0.5;
7.156031847000122;0.5;7.156031847000122;0.5;
7.356031894683838;0.5;7.356031894683838;0.5;
7.556031942367554;0.5;7.556031942367554;0.5;
7.7560319900512695;0.5;7.7560319900512695;0.5;
7.956032037734985;0.5;7.956032037734985;0.5;
8.156032085418701;0.5;8.156032085418701;0.5;
8.356032133102417;0.5;8.356032133102417;0.5;
8.556032180786133;0.5;8.556032180786133;0.5;
8.756032228469849;0.5;8.756032228469849;0.5;
8.956032276153564;0.5;8.956032276153564;0.5;
9.15603232383728;0.5;9.15603232383728;0.5;
9.356032371520996;0.5;9.356032371520996;0.5;
9.556032419204712;0.5;9.556032419204712;0.5;
9.756032466888428;0.5;9.756032466888428;0.5;
9.956032514572144;0.5;9.956032514572144;0.5;
10.15603256225586;0.5;10.15603256225586;0.5;
10.356032609939575;0.5;10.356032609939575;0.5;
10.556032657623291;0.5;10.556032657623291;0.5;
10.756032705307007;0.5;10.756032705307007;0.5;
10.956032752990723;0.5;10.956032752990723;0.5;
11.156032800674438;0.5;11.156032800674438;0.5;
11.356032848358154;0.5;11.356032848358154;0.5;
11.55603289604187;0.5;11.55603289604187;0.5;
11.756032943725586;0.5;11.756032943725586;0.5;
11.956032991409302;0.5;11.956032991409302;0.5;
12.156033039093018;0.5;12.156033039093018;0.5;
12.356033086776733;0.5;12.356033086776733;0.5;
12.55603313446045;0.5;12.55603313446045;0.5;
12.756033182144165;0.5;12.756033182144165;0.5;
12.95603322982788;0.5;12.95603322982788;0.5;
13.156033277511597;0.5;13.156033277511597;0.5;
13.356033325195312;0.5;13.356033325195312;0.5;
13.556033372879028;0.5;13.556033372879028;0.5;
13.756033420562744;0.5;13.756033420562744;0.5;
13.95603346824646;0.5;13.95603346824646;0.5;
14.156033515930176;0.5;14.156033515930176;0.5;
14.356033563613892;0.5;14.356033563613892;0.5;
14.556033611297607;0.5;14.556033611297607;0.5;
14.756033658981323;0.5;14.756033658981323;0.5;
14.956033706665039;0.5;14.956033706665039;0.5;
15.156033754348755;0.5;15.156033754348755;0.5;
15.35603380203247;0.5;15.35603380203247;0.5;
15.556033849716187;0.5;15.556033849716187;0.5;
15.756033897399902;0.5;15.756033897399902;0.5;
15.956033945083618;0.5;15.956033945083618;0.5;
16.156033992767334;0.5;16.156033992767334;0.5;
16.35603404045105;0.5;16.35603404045105;0.5;
16.556034088134766;0.5;16.556034088134766;0.5;
16.75603413581848;0.5;16.75603413581848;0.5;
16.956034183502197;0.5;16.956034183502197;0.5;
17.156034231185913;0.5;17.156034231185913;0.5;
17.35603427886963;0.5;17.35603427886963;0.5;
17.556034326553345;0.5;17.556034326553345;0.5;
17.75603437423706;0.5;17.75603437423706;0.5;
17.956034421920776;0.5;17.956034421920776;1;
18.156034469604492;0.5;18.156034469604492;0.5;
18.356034517288208;0.5;18.356034517288208;0.5;
18.556034564971924;0.5;18.556034564971924;1;
18.75603461265564;0.5;18.75603461265564;1;
18.956034660339355;0.5;18.956034660339355;1;
19.15603470802307;0.5;19.15603470802307;0.5;
19.356034755706787;0.5;19.356034755706787;1;
19.556034803390503;0.5;19.556034803390503;1;
19.75603485107422;0.5;19.75603485107422;1;
19.956034898757935;0.5;19.956034898757935;1;
20.15603494644165;0.5;20.15603494644165;0.5;
20.356034994125366;0.5;20.356034994125366;1;
20.556035041809082;0.5;20.556035041809082;1;
20.756035089492798;0.5;20.756035089492798;1;
20.956035137176514;0.5;20.956035137176514;1;
21.15603518486023;0.5;21.15603518486023;0.5;
21.356035232543945;0.5;21.356035232543945;1;
21.55603528022766;0.5;21.55603528022766;1;
21.756035327911377;0.5;21.756035327911377;1;
21.956035375595093;0.5;21.956035375595093;1;
