timestamp,rsrp,bler,mcs
0.0,-61,0.01121,28
1.0,-61,0.48934,20
2.0,-58,0.17707,10
3.0,-50,0.06174,9
4.0,-50,0.02504,17
5.0,-50,0.03498,27
6.0,-58,0.13835,21
7.0,-51,0.04926,22
8.0,-51,0.07334,25
9.0,-50,0.09846,25
10.0,-61,0.10942,25
11.0,-56,0.0894,25
12.0,-52,0.08318,25
13.0,-54,0.1109,25
14.0,-51,0.08505,25
15.0,-53,0.08723,25
16.0,-54,0.12181,25
17.0,-54,0.1046,25
18.0,-55,0.08378,25
19.0,-52,0.06091,25
20.0,-52,0.06762,25
21.0,-52,0.06043,25
22.0,-52,0.08418,26
23.0,-52,0.08783,24
24.0,-60,0.06719,24
25.0,-51,0.07882,24
26.0,-51,0.09159,24
27.0,-56,0.08997,24
28.0,-52,0.07065,24
29.0,-52,0.18092,24
30.0,-52,0.08503,20
31.0,-52,0.04165,25
32.0,-52,0.1196,25
33.0,-54,0.0778,25
34.0,-79,0.14676,24
35.0,-52,0.09192,24
36.0,-52,0.06437,24
37.0,-60,0.18305,22
38.0,-53,0.06718,21
39.0,-53,0.05975,24
40.0,-54,0.06945,24
41.0,-54,0.07739,24
42.0,-55,0.09023,26
43.0,-56,0.15637,22
44.0,-57,0.05452,22
45.0,-57,0.14616,25
46.0,-57,0.0863,25
47.0,-57,0.0979,25
48.0,-71,0.12007,25
49.0,-57,0.09921,23
50.0,-56,0.05619,23
51.0,-60,0.15442,23
52.0,-56,0.08605,23
53.0,-57,0.07738,23
54.0,-56,0.11603,24
55.0,-57,0.0981,22
56.0,-56,0.08741,24
57.0,-55,0.11822,23
58.0,-55,0.11999,23
59.0,-55,0.10832,23
60.0,-55,0.0994,23
61.0,-55,0.13199,23
62.0,-56,0.09394,23
63.0,-56,0.08958,23
64.0,-61,0.11261,23
65.0,-62,0.1357,20
66.0,-54,0.04732,21
67.0,-54,0.09396,22
68.0,-54,0.1155,22
69.0,-54,0.10196,22
70.0,-53,0.16811,20
71.0,-53,0.06634,19
72.0,-52,0.08166,22
73.0,-52,0.10094,22
74.0,-52,0.11223,22
75.0,-52,0.1372,22
76.0,-53,0.1109,20
77.0,-52,0.0762,20
78.0,-52,0.08047,20
79.0,-52,0.08566,20
80.0,-51,0.10987,20
81.0,-52,0.13199,19
82.0,-52,0.08316,19
83.0,-52,0.05775,19
84.0,-52,0.13941,19
85.0,-52,0.05833,19
86.0,-52,0.07218,20
87.0,-52,0.08072,22
88.0,-53,0.08401,20
89.0,-53,0.12752,22
90.0,-52,0.07695,21
91.0,-52,0.05957,21
92.0,-53,0.15057,19
93.0,-54,0.06778,19
94.0,-54,0.05498,20
95.0,-55,0.04686,21
96.0,-54,0.13025,22
97.0,-54,0.13523,22
98.0,-55,0.08758,22
99.0,-56,0.09803,22
100.0,-55,0.12483,21
