('192.168.70.129', 51502, '12.1.1.157', 10001);('192.168.70.129', 51502, '12.1.1.157', 10001);('192.168.70.129', 51502, '12.1.1.157', 10001);('192.168.70.129', 51504, '12.1.1.157', 10001);('192.168.70.129', 51504, '12.1.1.157', 10001);('192.168.70.129', 51504, '12.1.1.157', 10001);('192.168.70.132', 36954, '192.168.70.131', 3306);('192.168.70.132', 36954, '192.168.70.131', 3306);('192.168.70.132', 36954, '192.168.70.131', 3306);
;;;163502.586631;14.0;0;;;;
;;;163502.690407;39.0;0;;;;
;;;163502.794139;106.0;0;;;;
;;;163502.897892;257.0;0;;;;
;;;163503.001771;478.0;0;;;;
;;;163503.106666;751.0;0;;;;
;;;163503.210602;908.0;0;;;;
;;;163503.314484;1164.0;0;;;;
;;;163503.4183;1370.0;0;;;;
;;;163503.522074;1500.0;0;;;;
;;;163503.625903;1679.0;0;;;;
;;;163503.729777;2055.0;0;;;;
;;;163503.833618;2295.0;0;;;;
;;;163503.937355;2511.0;0;;;;
;;;163504.041243;2753.0;0;;;;
;;;163504.145184;2991.0;0;;;;
;;;163504.24916;3241.0;0;;;;
;;;163504.353022;3521.0;0;;;;
;;;163504.456969;3838.0;0;;;;
;;;163504.560797;4174.0;0;;;;
;;;163504.665063;4348.0;0;;;;
;;;163504.7689;4348.0;0;;;;
;;;163504.872709;4348.0;0;;;;
;;;163504.976496;4348.0;0;;;;
;;;163505.080621;4348.0;0;;;;
;;;163505.184698;4348.0;0;;;;
;;;163505.288509;4348.0;0;;;;
;;;163505.393205;4348.0;0;;;;
;;;163505.497057;4348.0;0;;;;
;;;163505.600858;4348.0;0;;;;
;;;163505.705417;4348.0;0;;;;
;;;163505.809255;4348.0;0;;;;
;;;163505.913051;4348.0;0;;;;
;;;163506.017132;4348.0;0;;;;
;;;163506.125175;4348.0;0;;;;
;;;163506.230044;4348.0;0;;;;
;;;163506.33483;4348.0;0;;;;
;;;163506.439709;4348.0;0;;;;
;;;163506.544659;4348.0;0;;;;
;;;163506.649203;4348.0;0;;;;
;;;163506.753431;4348.0;0;;;;
;;;163506.857289;4348.0;0;;;;
;;;163506.961092;4348.0;0;;;;
;;;163507.064992;4348.0;0;;;;
;;;163507.16879;4348.0;0;;;;
;;;163507.27272;4348.0;0;;;;
;;;163507.376653;4348.0;0;;;;
;;;163507.48045;4348.0;0;;;;
;;;163507.584231;4348.0;0;;;;
;;;163507.688051;4348.0;0;;;;
;;;163507.791823;4348.0;0;;;;
;;;163507.8956;4348.0;0;;;;
;;;163507.999362;4348.0;0;;;;
;;;163508.103104;4348.0;0;;;;
;;;163508.206836;4348.0;0;;;;
;;;163508.310597;4348.0;0;;;;
;;;163508.414366;4348.0;0;;;;
;;;163508.518125;4348.0;0;;;;
;;;163508.62187;4348.0;0;;;;
;;;163508.725979;4348.0;0;;;;
;;;163508.829795;4348.0;0;;;;
;;;163508.933661;4348.0;0;;;;
;;;163509.037714;4348.0;0;;;;
;;;163509.141526;4348.0;0;;;;
;;;163509.245318;4348.0;0;;;;
;;;163509.349269;4348.0;0;;;;
;;;163509.45326;4348.0;0;;;;
;;;163509.557065;4348.0;0;;;;
;;;163509.66085;4348.0;0;;;;
;;;163509.764759;4348.0;0;;;;
;;;163509.869195;4348.0;0;;;;
;;;163509.973105;4348.0;0;;;;
;;;163510.076913;4348.0;0;;;;
;;;163510.181391;4348.0;0;;;;
;;;163510.285317;4348.0;0;;;;
;;;163510.389115;2000.0;2174.0;;;;
;;;163510.492913;1821.0;2174.0;;;;
;;;163510.596732;1644.0;2174.0;;;;
;;;163510.700744;1468.0;2174.0;;;;
;;;163510.80456;1289.0;2174.0;;;;
;;;163510.908398;1102.0;2174.0;;;;
;;;163511.012206;966.0;2174.0;;;;
;;;163511.115929;772.0;2174.0;;;;
;;;163511.233505;570.0;2174.0;;;;
;;;163511.337242;395.0;2174.0;;;;
;;;163511.440971;215.0;2174.0;;;;
;;;163511.544721;2091.0;2174.0;;;;
;;;163511.648528;2174.0;2174.0;;;;
;;;163511.752331;2174.0;2174.0;;;;
;;;163511.85614;2174.0;2174.0;;;;
;;;163511.959909;898.0;1087.0;;;;
;;;163512.06379;898.0;1087.0;;;;
;;;163512.167752;782.0;1087.0;;;;
;;;163512.27156;782.0;1087.0;;;;
;;;163512.375344;1086.0;1087.0;;;;
;;;163512.479189;819.0;1087.0;;;;
;;;163512.582962;828.0;1087.0;;;;
;;;163512.686816;1087.0;1087.0;;;;
;;;163512.790738;1087.0;1087.0;;;;
;;;163512.894688;1087.0;1087.0;;;;
;;;163512.998525;1087.0;1087.0;;;;
;;;163513.102511;1087.0;1087.0;;;;
;;;163513.206497;1088.0;1087.0;;;;
;;;163513.310329;1088.0;1087.0;;;;
;;;163513.414179;1088.0;1087.0;;;;
;;;163513.518124;1089.0;1087.0;;;;
;;;163513.621982;1089.0;1087.0;;;;
;;;163513.726049;1089.0;1087.0;;;;
;;;163513.829982;1089.0;1087.0;;;;
;;;163513.933994;1089.0;1087.0;;;;
;;;163514.037855;1090.0;1087.0;;;;
;;;163514.141683;1090.0;1087.0;;;;
;;;163514.245606;1090.0;1087.0;;;;
;;;163514.349469;1091.0;1087.0;;;;
;;;163514.454512;1091.0;1087.0;;;;
;;;163514.558401;1091.0;1087.0;;;;
;;;163514.662995;1092.0;1087.0;;;;
;;;163514.767069;1092.0;1087.0;;;;
;;;163514.870967;1092.0;1087.0;;;;
;;;163514.974862;1093.0;1087.0;;;;
;;;163515.078744;1093.0;1087.0;;;;
;;;163515.182787;1093.0;1087.0;;;;
;;;163515.286594;1094.0;1087.0;;;;
;;;163515.390411;1094.0;1087.0;;;;
;;;163515.494292;1094.0;1087.0;;;;
;;;163515.598701;1095.0;1087.0;;;;
;;;163515.702709;1095.0;1087.0;;;;
;;;163515.806578;1095.0;1087.0;;;;
;;;163515.910429;1095.0;1087.0;;;;
;;;163516.014272;1095.0;1087.0;;;;
;;;163516.118155;1096.0;1087.0;;;;
;;;163516.23663;1096.0;1087.0;;;;
;;;163516.3405;1096.0;1087.0;;;;
;;;163516.444492;1096.0;1087.0;;;;
;;;163516.54832;1097.0;1087.0;;;;
;;;163516.653166;1097.0;1087.0;;;;
;;;163516.758084;1097.0;1087.0;;;;
;;;163516.862536;1097.0;1087.0;;;;
;;;163516.967602;1098.0;1087.0;;;;
;;;163517.072203;1098.0;1087.0;;;;
;;;163517.176424;1098.0;1087.0;;;;
;;;163517.280296;1098.0;1087.0;;;;
;;;163517.384202;1098.0;1087.0;;;;
;;;163517.488049;1099.0;1087.0;;;;
;;;163517.591881;1099.0;1087.0;;;;
;;;163517.695745;1099.0;1087.0;;;;
;;;163517.799522;1099.0;1087.0;;;;
;;;163517.903263;1099.0;1087.0;;;;
;;;163518.007007;1099.0;1087.0;;;;
;;;163518.110708;1100.0;1087.0;;;;
;;;163518.214431;1100.0;1087.0;;;;
;;;163518.318183;1100.0;1087.0;;;;
;;;163518.421905;1100.0;1087.0;;;;
;;;163518.525626;1100.0;1087.0;;;;
;;;163518.629364;1100.0;1087.0;;;;
;;;163518.733567;1101.0;1087.0;;;;
;;;163518.837478;1101.0;1087.0;;;;
;;;163518.941328;1101.0;1087.0;;;;
;;;163519.045348;1101.0;1087.0;;;;
;;;163519.14914;1102.0;1087.0;;;;
;;;163519.252896;1102.0;1087.0;;;;
;;;163519.356627;1102.0;1087.0;;;;
;;;163519.46042;1102.0;1087.0;;;;
;;;163519.564234;1102.0;1087.0;;;;
;;;163519.668047;1103.0;1087.0;;;;
;;;163519.771877;1103.0;1087.0;;;;
;;;163519.875624;1103.0;1087.0;;;;
;;;163519.979445;1103.0;1087.0;;;;
;;;163520.083299;1104.0;1087.0;;;;
;;;163520.187056;1104.0;1087.0;;;;
;;;163520.290819;1104.0;1087.0;;;;
;;;163520.394779;1104.0;1087.0;;;;
;;;163520.498878;1105.0;1087.0;;;;
;;;163520.602755;1105.0;1087.0;;;;
;;;163520.706658;1105.0;1087.0;;;;
;;;163520.810444;1106.0;1087.0;;;;
;;;163520.915156;1106.0;1087.0;;;;
;;;163521.020051;1106.0;1087.0;;;;
;;;163521.124658;1107.0;1087.0;;;;
;;;163521.233402;1107.0;1087.0;;;;
;;;163521.33723;1107.0;1087.0;;;;
;;;163521.44103;1108.0;1087.0;;;;
;;;163521.544826;1108.0;1087.0;;;;
;;;163521.648627;1108.0;1087.0;;;;
;;;163521.752438;1108.0;1087.0;;;;
