('192.168.70.129', 36258, '12.1.1.156', 10000);('192.168.70.129', 36258, '12.1.1.156', 10000);('192.168.70.129', 36258, '12.1.1.156', 10000);('192.168.70.132', 35980, '192.168.70.131', 3306);('192.168.70.132', 35980, '192.168.70.131', 3306);('192.168.70.132', 35980, '192.168.70.131', 3306);
0.0;20.0;0;;;;
0.10382294654846191;60.0;0;;;;
0.20761799812316895;104.0;0;;;;
0.3114337921142578;153.0;0;;;;
0.415269136428833;78.0;78.0;;;;
0.5191388130187988;79.0;78.0;;;;
0.6229279041290283;79.0;78.0;;;;
0.7267258167266846;80.0;78.0;;;;
0.8308956623077393;81.0;78.0;;;;
0.9348514080047607;81.0;78.0;;;;
1.0386381149291992;82.0;78.0;;;;
1.142430305480957;82.0;78.0;;;;
1.2462115287780762;82.0;78.0;;;;
1.3499805927276611;83.0;78.0;;;;
1.4538183212280273;83.0;78.0;;;;
1.5576155185699463;84.0;78.0;;;;
1.6614480018615723;84.0;78.0;;;;
1.7654633522033691;85.0;78.0;;;;
1.8692646026611328;85.0;78.0;;;;
1.9730584621429443;86.0;78.0;;;;
2.0768487453460693;86.0;78.0;;;;
2.180631399154663;87.0;78.0;;;;
2.2845420837402344;87.0;78.0;;;;
2.388338565826416;87.0;78.0;;;;
2.4921715259552;88.0;78.0;;;;
2.5960023403167725;88.0;78.0;;;;
2.6998379230499268;89.0;78.0;;;;
2.803621530532837;89.0;78.0;;;;
2.907409191131592;90.0;78.0;;;;
3.011179208755493;90.0;78.0;;;;
3.114994525909424;91.0;78.0;;;;
3.2188034057617188;91.0;78.0;;;;
3.322585105895996;91.0;78.0;;;;
3.4263854026794434;92.0;78.0;;;;
3.5303070545196533;93.0;78.0;;;;
3.6340997219085693;93.0;78.0;;;;
3.7379205226898193;94.0;78.0;;;;
3.8417346477508545;94.0;78.0;;;;
3.9455440044403076;95.0;78.0;;;;
4.049359321594238;95.0;78.0;;;;
4.15317702293396;96.0;78.0;;;;
4.26965069770813;96.0;78.0;;;;
4.373922348022461;97.0;78.0;;;;
4.477793216705322;97.0;78.0;;;;
4.581660747528076;98.0;78.0;;;;
4.685492515563965;60.0;59.0;;;;
4.789316415786743;60.0;59.0;;;;
4.893113136291504;61.0;59.0;;;;
4.997083902359009;62.0;59.0;;;;
5.100977897644043;63.0;59.0;;;;
5.204818248748779;63.0;59.0;;;;
5.308692216873169;64.0;59.0;;;;
5.412692308425903;65.0;59.0;;;;
5.5166401863098145;65.0;59.0;;;;
5.620575666427612;66.0;59.0;;;;
5.724488973617554;67.0;59.0;;;;
5.828370094299316;68.0;59.0;;;;
5.932335376739502;68.0;59.0;;;;
6.036303997039795;69.0;59.0;;;;
6.1401708126068115;70.0;59.0;;;;
6.244032382965088;70.0;59.0;;;;
6.34789776802063;71.0;59.0;;;;
6.451773643493652;72.0;59.0;;;;
6.555629014968872;72.0;59.0;;;;
6.659501791000366;73.0;59.0;;;;
6.763383865356445;73.0;59.0;;;;
6.86724066734314;74.0;59.0;;;;
6.971134185791016;75.0;59.0;;;;
7.074964761734009;75.0;59.0;;;;
7.178806304931641;76.0;59.0;;;;
7.282666206359863;76.0;59.0;;;;
7.38657021522522;77.0;59.0;;;;
7.49045991897583;78.0;59.0;;;;
7.5943498611450195;78.0;59.0;;;;
7.698209524154663;79.0;59.0;;;;
7.802103281021118;80.0;59.0;;;;
7.905980348587036;80.0;59.0;;;;
8.009846687316895;81.0;59.0;;;;
8.113709211349487;81.0;59.0;;;;
8.217520236968994;82.0;59.0;;;;
8.321424961090088;82.0;59.0;;;;
8.425313949584961;83.0;59.0;;;;
8.529350757598877;84.0;59.0;;;;
8.633266925811768;84.0;59.0;;;;
8.737165212631226;85.0;59.0;;;;
8.841200351715088;85.0;59.0;;;;
8.945089340209961;86.0;59.0;;;;
9.049004316329956;86.0;59.0;;;;
9.152899503707886;87.0;59.0;;;;
9.27794861793518;87.0;59.0;;;;
9.381824731826782;88.0;59.0;;;;
9.485710620880127;88.0;59.0;;;;
9.589601039886475;89.0;59.0;;;;
9.693517208099365;89.0;59.0;;;;
9.797461032867432;90.0;59.0;;;;
