('192.168.70.129', 38994, '12.1.1.152', 10000);('192.168.70.129', 38994, '12.1.1.152', 10000);('192.168.70.129', 38994, '12.1.1.152', 10000);
0.0;23.0;0;
0.10392546653747559;31.0;30.0;
0.20785903930664062;33.0;30.0;
0.3116459846496582;36.0;30.0;
0.4154973030090332;39.0;30.0;
0.5192480087280273;42.0;30.0;
0.623021125793457;46.0;30.0;
0.7267739772796631;50.0;30.0;
0.8311541080474854;53.0;30.0;
0.9353139400482178;58.0;30.0;
1.0395808219909668;61.0;30.0;
1.1434779167175293;67.0;30.0;
1.2472589015960693;72.0;30.0;
1.351060152053833;76.0;30.0;
1.4548156261444092;79.0;30.0;
1.558595895767212;83.0;30.0;
1.662360429763794;88.0;30.0;
1.766150712966919;92.0;30.0;
1.8699746131896973;97.0;30.0;
1.9737765789031982;101.0;30.0;
2.0783846378326416;106.0;30.0;
2.1822617053985596;110.0;30.0;
2.2860729694366455;114.0;30.0;
2.3898792266845703;118.0;30.0;
2.4936370849609375;123.0;30.0;
2.5974297523498535;127.0;30.0;
2.701190233230591;131.0;30.0;
2.8050005435943604;135.0;30.0;
2.9087698459625244;140.0;30.0;
3.0125558376312256;144.0;30.0;
3.1163077354431152;148.0;30.0;
3.2200841903686523;152.0;30.0;
3.323831558227539;156.0;30.0;
3.427616596221924;161.0;30.0;
3.5314249992370605;165.0;30.0;
3.6354002952575684;170.0;30.0;
3.7391421794891357;175.0;30.0;
3.8429322242736816;180.0;30.0;
3.9467194080352783;185.0;30.0;
4.050534009933472;189.0;30.0;
4.15432333946228;195.0;30.0;
4.2581493854522705;200.0;30.0;
4.361999273300171;205.0;30.0;
4.465817928314209;210.0;30.0;
4.570089817047119;215.0;30.0;
4.674263000488281;220.0;30.0;
4.77810001373291;225.0;30.0;
4.8819944858551025;231.0;30.0;
4.985815763473511;236.0;30.0;
5.089647531509399;241.0;30.0;
5.193960428237915;246.0;30.0;
5.2978129386901855;251.0;30.0;
5.401600122451782;257.0;30.0;
5.505425214767456;260.0;30.0;
5.609215974807739;267.0;30.0;
5.713054418563843;272.0;30.0;
5.817013263702393;278.0;30.0;
5.92083740234375;283.0;30.0;
6.024622678756714;286.0;30.0;
6.1284019947052;294.0;30.0;
6.232203722000122;299.0;30.0;
6.336117267608643;304.0;30.0;
6.439908027648926;310.0;30.0;
6.54370903968811;315.0;30.0;
6.647479295730591;320.0;30.0;
6.751266956329346;325.0;30.0;
6.855037212371826;330.0;30.0;
6.958918809890747;336.0;30.0;
7.062866449356079;341.0;30.0;
7.166763782501221;346.0;30.0;
7.270640134811401;351.0;30.0;
7.374463319778442;356.0;30.0;
7.478255748748779;360.0;30.0;
7.582099914550781;365.0;30.0;
7.685948848724365;370.0;30.0;
7.789737224578857;377.0;30.0;
7.8935606479644775;353.0;266.0;
7.9973578453063965;380.0;285.0;
8.101139545440674;380.0;285.0;
8.204905986785889;380.0;285.0;
8.308684349060059;380.0;285.0;
8.41245698928833;380.0;285.0;
8.516225099563599;380.0;285.0;
8.620088338851929;381.0;285.0;
8.724273920059204;381.0;285.0;
8.828097343444824;381.0;285.0;
8.931912660598755;381.0;285.0;
9.03576111793518;381.0;285.0;
9.139573812484741;381.0;285.0;
9.243404865264893;381.0;285.0;
9.347218751907349;382.0;285.0;
9.451171398162842;382.0;285.0;
9.564250946044922;382.0;285.0;
9.668091773986816;382.0;285.0;
9.7719144821167;382.0;285.0;
9.87571668624878;383.0;285.0;
9.979519128799438;383.0;285.0;
10.08333683013916;383.0;285.0;
10.18750524520874;383.0;285.0;
10.291442394256592;384.0;285.0;
10.39530324935913;385.0;285.0;
10.49919056892395;385.0;285.0;
10.603046178817749;386.0;285.0;
10.706862449645996;386.0;285.0;
10.810672998428345;387.0;285.0;
10.914464950561523;388.0;285.0;
11.018237829208374;389.0;285.0;
11.121984481811523;390.0;285.0;
11.225755453109741;391.0;285.0;
11.329555034637451;392.0;285.0;
11.433356285095215;393.0;285.0;
11.5371413230896;395.0;285.0;
11.640927076339722;396.0;285.0;
11.74470591545105;397.0;285.0;
11.848487615585327;399.0;285.0;
11.952283143997192;400.0;285.0;
12.05610990524292;402.0;285.0;
12.159918069839478;404.0;285.0;
12.263696432113647;406.0;285.0;
12.367480039596558;408.0;285.0;
12.471251964569092;410.0;285.0;
12.575223445892334;413.0;285.0;
12.679036617279053;415.0;285.0;
12.783003807067871;417.0;285.0;
12.88699722290039;420.0;285.0;
12.990806341171265;423.0;285.0;
13.094612836837769;426.0;285.0;
13.198400020599365;429.0;285.0;
13.302204847335815;432.0;285.0;
13.40600037574768;435.0;285.0;
13.509775876998901;438.0;285.0;
13.613686561584473;442.0;285.0;
13.71747350692749;445.0;285.0;
13.821244955062866;448.0;285.0;
13.925151348114014;452.0;285.0;
14.029011964797974;456.0;285.0;
14.132882118225098;460.0;285.0;
14.236713886260986;464.0;285.0;
14.340487241744995;468.0;285.0;
14.444310426712036;473.0;285.0;
14.548063278198242;478.0;285.0;
14.656087875366211;483.0;285.0;
14.760423421859741;488.0;285.0;
14.864314317703247;491.0;285.0;
14.968114376068115;498.0;285.0;
15.071922063827515;504.0;285.0;
15.176005601882935;509.0;285.0;
15.279944896697998;513.0;285.0;
15.38373851776123;521.0;285.0;
15.487569093704224;527.0;285.0;
15.591339588165283;533.0;285.0;
15.695122480392456;540.0;285.0;
15.798943042755127;546.0;285.0;
15.902708053588867;553.0;285.0;
16.006498336791992;560.0;285.0;
16.11030673980713;567.0;285.0;
16.214082956314087;574.0;285.0;
16.317837476730347;577.0;285.0;
16.42157793045044;590.0;285.0;
16.525354623794556;597.0;285.0;
16.629076957702637;605.0;285.0;
16.732818126678467;614.0;285.0;
16.836561679840088;619.0;285.0;
16.940311193466187;631.0;285.0;
17.0440616607666;639.0;285.0;
17.147833108901978;648.0;285.0;
17.2515811920166;657.0;285.0;
17.355332374572754;666.0;285.0;
17.459128618240356;673.0;285.0;
17.562901496887207;682.0;285.0;
17.666630744934082;693.0;285.0;
17.77038049697876;705.0;285.0;
17.874128103256226;716.0;285.0;
17.977914333343506;725.0;285.0;
18.08165955543518;733.0;285.0;
18.185585737228394;747.0;285.0;
18.289361000061035;758.0;285.0;
18.39308524131775;769.0;285.0;
18.496832132339478;781.0;285.0;
18.60059094429016;792.0;285.0;
18.704397439956665;805.0;285.0;
18.808144092559814;811.0;285.0;
18.911916494369507;830.0;285.0;
19.015683889389038;842.0;285.0;
19.11944890022278;854.0;285.0;
19.223198890686035;866.0;285.0;
19.326952695846558;879.0;285.0;
19.430743932724;889.0;285.0;
19.534503936767578;905.0;285.0;
19.638286590576172;921.0;285.0;
19.756171941757202;937.0;285.0;
19.859957456588745;952.0;285.0;
19.963724613189697;966.0;285.0;
20.067495346069336;981.0;285.0;
20.17135262489319;997.0;285.0;
20.275168895721436;1014.0;285.0;
20.3789324760437;1020.0;285.0;
20.482686281204224;1045.0;285.0;
20.58646297454834;1060.0;285.0;
20.690274953842163;1075.0;285.0;
20.794086933135986;1091.0;285.0;
20.897879123687744;1107.0;285.0;
21.001655340194702;1124.0;285.0;
21.105412006378174;1142.0;285.0;
21.20919394493103;1160.0;285.0;
21.312943935394287;1170.0;285.0;
21.41693425178528;1181.0;285.0;
21.52070164680481;1210.0;285.0;
21.62447452545166;1228.0;285.0;
21.728253841400146;1247.0;285.0;
21.832006454467773;1266.0;285.0;
21.935770511627197;1284.0;285.0;
22.039548635482788;1303.0;285.0;
22.143301486968994;1322.0;285.0;
22.247050046920776;1342.0;285.0;
22.35079002380371;1364.0;285.0;
22.45453143119812;1378.0;285.0;
22.55835795402527;1392.0;285.0;
22.662155389785767;1427.0;285.0;
22.766006231307983;1449.0;285.0;
22.86980700492859;1471.0;285.0;
22.97380566596985;1477.0;285.0;
23.077603578567505;1487.0;285.0;
23.181376934051514;1512.0;285.0;
23.285241842269897;1537.0;285.0;
23.389114141464233;1561.0;285.0;
23.49298596382141;1587.0;285.0;
23.59684443473816;1612.0;285.0;
23.700652599334717;1638.0;285.0;
23.80441403388977;1664.0;285.0;
23.90815496444702;1690.0;285.0;
24.01194143295288;1719.0;285.0;
24.115716218948364;1743.0;285.0;
24.219586849212646;1770.0;285.0;
24.32339358329773;1799.0;285.0;
24.427166223526;1824.0;285.0;
24.53100848197937;1841.0;285.0;
24.634859800338745;1878.0;285.0;
24.738606452941895;1906.0;285.0;
24.842918395996094;1934.0;285.0;
24.947054147720337;1962.0;285.0;
25.050925970077515;1989.0;285.0;
25.15497374534607;2017.0;285.0;
25.25883674621582;2044.0;285.0;
25.36281704902649;2072.0;285.0;
25.466780185699463;2099.0;285.0;
25.570594787597656;2124.0;285.0;
25.674402952194214;2152.0;285.0;
25.77835488319397;2178.0;285.0;
25.882153272628784;2205.0;285.0;
25.98614001274109;2231.0;285.0;
26.090258598327637;2259.0;285.0;
26.194271326065063;2283.0;285.0;
26.298094272613525;2283.0;285.0;
26.40192174911499;2283.0;285.0;
26.505841732025146;2283.0;285.0;
26.60973286628723;1819.0;1598.0;
26.713530778884888;1785.0;1598.0;
26.817314386367798;1764.0;1598.0;
26.921077251434326;1552.0;1598.0;
27.024855852127075;1478.0;1598.0;
27.128875017166138;1361.0;1598.0;
27.23281478881836;1303.0;1598.0;
27.336792945861816;1202.0;1598.0;
27.440580129623413;984.0;1598.0;
27.544378995895386;984.0;1598.0;
27.64820647239685;981.0;1598.0;
27.752193450927734;915.0;1598.0;
27.856021642684937;855.0;1598.0;
27.959933519363403;794.0;1598.0;
28.063822269439697;730.0;1598.0;
28.167867422103882;668.0;1598.0;
28.27176809310913;340.0;1598.0;
28.37556767463684;1320.0;1598.0;
28.479424476623535;1320.0;1598.0;
28.583351612091064;1320.0;1598.0;
28.687204122543335;1320.0;1598.0;
28.791126251220703;1320.0;1598.0;
28.895331144332886;1341.0;1598.0;
28.99923086166382;1414.0;1598.0;
29.103188514709473;1480.0;1598.0;
29.207053899765015;1522.0;1598.0;
29.310991764068604;1598.0;1598.0;
29.41480255126953;1600.0;1598.0;
29.51893925666809;1602.0;1598.0;
29.622753620147705;1605.0;1598.0;
29.72653317451477;1609.0;1598.0;
29.848171949386597;1615.0;1598.0;
29.951998233795166;1622.0;1598.0;
30.056072235107422;1628.0;1598.0;
30.16004753112793;1635.0;1598.0;
30.2638943195343;1643.0;1598.0;
30.367676496505737;1652.0;1598.0;
30.47144651412964;1660.0;1598.0;
30.575231790542603;1669.0;1598.0;
30.67902445793152;1677.0;1598.0;
30.782783031463623;1683.0;1598.0;
30.886533975601196;1698.0;1598.0;
30.99030900001526;1708.0;1598.0;
31.09404754638672;1718.0;1598.0;
31.197854042053223;1728.0;1598.0;
31.301605939865112;1739.0;1598.0;
31.406047582626343;1749.0;1598.0;
31.51001739501953;1759.0;1598.0;
