tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds,cwnd_values,inflight,rtt,sending_rate,throughput,retransmissions_interval
1687025347,4a06,1,48.537624,53.239635,0,0,-60,5,15,270,210,920,1,0,0,7,661,0,11,291108516,241,4,0.08703,28,61216483,61215458,245074/20402/34/11,711385/15301/98/34,8.3,183710.84590163938,23.41028104854535,1841216.0,1656000.0,nan
1687025348,4a06,1,58.865181,382.4729,0,0,-61,1,15,250,195,907,1,0,0,7,687,0.0384,21,292113462,249,4,0.12202,28,61257116,61256091,246211/20477/34/11,711763/15351/103/35,8.8,194223.1065989848,18.6797505801486,2312064.0,2364000.0,nan
1687025349,4a06,1,61.702164,641.843201,0,0,-52,14,15,390,315,1034,1,0,0,8,689,0.09583,21,293459173,249,4,0.05963,28,61295676,61294559,247282/20616/36/12,712152/15363/104/36,10.333333333333334,205888.74497354496,19.450633756576046,2217728.0,2220000.0,nan
1687025350,4a06,1,61.568535,778.158508,0,0,-48,10,15,390,320,1034,1,0,0,8,689,0.08706,21,294882698,249,4,0.02079,28,61332408,61331291,248407/20703/36/12,712545/15363/104/36,5.5,116435.37877094971,11.819655245000666,2099808.0,2184000.0,nan
1687025351,4a06,1,61.341045,829.334229,0,0,-48,7,15,370,330,1032,1,0,0,8,689,0.09328,21,296277403,249,4,0.00981,28,61368551,61367550,249512/20811/36/12,712935/15364/104/36,6.4,134515.9822222222,13.995336146836872,2099808.0,2148000.0,nan
1687025352,4a06,1,61.863937,846.174927,0,0,-49,3,15,360,310,1027,1,0,0,8,691,0.10265,21,297662021,249,4,0.00342,28,61405465,61404348,250610/20925/36/12,713330/15365/105/36,7.777777777777778,150863.8033519553,15.331472591920331,2099808.0,2112000.0,nan
1687025353,4a06,1,61.458958,848.655151,0,0,-49,16,15,370,310,1024,1,0,0,8,691,0.11285,21,299020701,249,4,0.00224,28,61441617,61440500,251690/21059/36/12,713718/15365/105/36,7.6,165779.9111111111,16.226944872128065,2217728.0,2196000.0,nan
1687025354,4a06,1,61.445869,856.115356,0,0,-49,12,15,380,305,1024,1,0,0,8,691,0.1064,21,300403878,249,4,0.0018,28,61478053,61476936,252787/21174/36/12,714108/15366/105/36,9.11111111111111,178895.57333333333,17.743728401955593,2099808.0,2076000.0,nan
1687025355,4a06,1,61.00008,859.736816,0,0,-49,9,15,360,320,1024,1,0,0,8,691,0.10893,21,301785614,249,4,0.00063,28,61513877,61512876,253883/21291/36/12,714497/15366/105/36,8.7,191264.71111111113,19.035599204931366,2099808.0,2160000.0,nan
1687025356,4a06,1,61.011356,849.828064,0,0,-49,5,15,380,315,1030,1,0,0,8,691,0.11766,21,303134207,249,4,0.00181,28,61550009,61548892,254956/21430/36/12,714885/15367/105/36,9.2,203490.0346820809,20.861071979298313,2029056.0,1980000.0,nan
1687025357,4a06,1,61.41029,842.910339,0,0,-49,2,15,380,320,1034,1,0,0,8,693,0.13446,21,304472713,249,4,0.003,28,61586509,61585508,256022/21577/36/12,715276/15368/106/36,10.777777777777779,213709.14594594593,20.757861713786703,2158976.0,2184000.0,nan
1687025358,4a06,1,61.788708,855.120605,0,0,-49,14,15,380,310,1027,1,0,0,8,697,0.11836,21,305847244,250,4,0.00417,28,61622859,61621752,257113/21699/36/12,715663/15370/107/36,10.2,224940.21818181817,21.550381701925527,2182560.0,2232000.0,nan
1687025359,4a06,1,61.388309,880.204102,0,0,-50,11,15,380,320,1023,1,0,0,8,697,0.08379,21,307288061,250,4,0.00145,28,61659017,61657900,258250/21774/36/12,716048/15370/107/36,10.6,235386.87999999998,22.346044372726272,2158976.0,2256000.0,nan
1687025360,4a06,1,61.255589,886.300598,0,0,-51,7,15,370,305,1016,1,0,0,8,697,0.07856,21,308711586,250,4,0.00051,28,61695590,61694589,259375/21862/36/12,716441/15370/107/36,12.222222222222221,245959.05306122446,23.118123319960127,2288480.0,2256000.0,nan
1687025361,4a06,1,61.203655,896.339539,0,0,-52,4,15,360,280,1020,1,0,0,8,697,0.0707,21,310159608,250,4,0.00018,28,61732202,61731201,260517/21933/36/12,716836/15370/107/36,11.5,256165.1654822335,23.64725624163126,2312064.0,2316000.0,nan
1687025362,4a06,1,61.821808,903.405396,0,0,-52,16,15,360,295,1024,1,0,0,8,699,0.05862,21,311620599,250,4,0.00237,28,61769308,61768307,261668/21995/36/12,717233/15371/108/36,13.222222222222221,265946.80628272257,24.854707210621935,2229728.0,2292000.0,nan
1687025363,4a06,1,61.688168,905.117798,0,0,-52,13,15,360,300,1023,1,0,0,8,699,0.05939,21,313072944,250,4,0.00313,28,61805576,61804575,262813/22063/36/12,717622/15372/108/36,12.3,274563.968,24.588420655992298,2335648.0,2364000.0,nan
1687025364,4a06,1,62.475544,917.694336,0,0,-52,9,15,360,315,1030,1,0,0,8,701,0.05687,22,314556759,250,4,0.00109,28,61842718,61841717,263961/22127/36/12,718018/15373/109/37,12.7,283819.4693069307,25.292582035064697,2359232.0,2316000.0,nan
1687025365,4a06,1,63.196987,922.633362,0,0,-51,6,15,360,300,1034,1,0,0,8,703,0.08431,22,316046881,250,4,0.00279,28,61880356,61879355,265067/22234/36/12,718410/15375/110/37,14.444444444444445,293069.3788944724,26.27347586106281,2324064.0,2280000.0,nan
1687025366,4a06,1,63.848022,916.603821,0,0,-51,2,15,370,320,1027,1,0,0,8,707,0.10284,22,317507800,251,4,0.00339,28,61917985,61916715,266155/22359/36/12,718806/15378/111/37,13.4,301206.60292682925,27.65313139056215,2394816.0,2388000.0,nan
1687025367,4a06,1,64.318619,934.193542,0,0,-51,15,15,360,290,1016,1,0,0,8,711,0.09,22,319021465,253,4,0.00704,28,61956251,61955250,267276/22451/36/12,719204/15381/111/37,15.333333333333334,309488.8369230769,27.842584252357476,2276896.0,2304000.0,nan
1687025368,4a06,1,63.364372,924.872314,0,0,-50,11,15,350,300,1013,1,0,0,8,711,0.1024,22,320488532,253,4,0.00245,28,61992661,61991660,268367/22572/36/12,719597/15381/111/37,14.1,317867.3484536082,28.856046497821808,2264896.0,2316000.0,nan
1687025369,4a06,1,62.924236,925.601685,0,0,-50,8,15,360,285,1013,1,0,0,8,711,0.10172,22,321970969,253,4,0.00086,28,62029661,62028660,269468/22684/36/12,719993/15381/111/37,14.5,325723.1673469388,29.591263938195926,2288480.0,2364000.0,nan
1687025370,4a06,1,63.390846,915.518188,0,0,-50,4,15,350,295,1020,1,0,0,8,715,0.11098,22,323430351,255,4,0.0053,28,62067183,62066182,270554/22810/36/12,720389/15384/111/37,16.444444444444443,333040.0,31.417628770233485,2194144.0,2220000.0,nan
1687025371,4a06,1,62.508678,899.220642,0,0,-49,1,15,370,300,1024,1,0,0,8,715,0.13533,22,324846697,255,4,0.00284,28,62103120,62102119,271612/22965/36/12,720778/15384/111/37,15.1,341035.41164021165,32.299868778515886,2206144.0,2244000.0,nan
1687025372,4a06,1,63.102806,896.146423,0,0,-49,13,15,360,300,1023,1,0,0,8,717,0.13283,22,326275339,256,4,0.00369,28,62140906,62139484,272678/23107/40/12,721171/15386/111/37,17.11111111111111,347763.8736842105,32.04968584344742,2217728.0,2244000.0,nan
1687025373,4a06,1,62.466927,898.21405,0,0,-49,10,15,350,290,1016,1,0,0,8,717,0.13543,22,327714740,256,4,0.00226,28,62177330,62176329,273751/23247/40/12,721565/15386/111/37,15.7,354989.26666666666,31.89769744873047,2241312.0,2268000.0,nan
1687025374,4a06,1,62.973099,906.100037,0,0,-50,6,15,350,305,1013,1,0,0,8,719,0.12059,22,329177196,257,4,0.00286,28,62215397,62214396,274839/23371/40/12,721965/15387/111/37,16.0,361820.6538071066,32.71972911874043,2300480.0,2268000.0,nan
1687025375,4a06,1,62.557907,913.017761,0,0,-50,3,15,350,285,1014,1,0,0,8,719,0.11341,22,330644263,257,4,0.001,28,62252271,62251270,275930/23493/40/12,722362/15387/111/37,18.11111111111111,369101.61970443354,32.09367752075195,2382816.0,2472000.0,nan
1687025376,4a06,1,62.998466,918.400024,0,0,-50,15,15,350,285,1014,1,0,0,8,721,0.10694,22,332122089,258,4,0.00367,28,62289823,62288822,277028/23607/40/12,722759/15389/111/37,16.6,376097.6709359606,33.83309268951416,2371232.0,2448000.0,nan
1687025377,4a06,1,62.388378,915.457703,0,0,-50,12,15,350,280,1013,1,0,0,8,721,0.11132,22,333579934,258,4,0.00128,28,62326207,62325206,278113/23735/40/12,723153/15389/111/37,18.77777777777778,382399.424,34.144267650565716,2335648.0,2316000.0,nan
1687025378,4a06,1,62.080292,919.977356,0,0,-50,8,15,350,305,1014,1,0,0,8,721,0.10576,22,335057760,258,4,0.00045,28,62362923,62361922,279211/23849/40/12,723549/15389/111/37,17.2,388663.99179487175,35.30481358369191,2288480.0,2280000.0,nan
1687025379,4a06,1,62.020988,922.996399,0,0,-50,5,15,340,280,1014,1,0,0,8,721,0.1041,22,336537123,258,4,0.00016,28,62400043,62399042,280310/23963/40/12,723949/15389/111/37,19.444444444444443,395112.98723404255,36.486561580370825,2194144.0,2208000.0,nan
1687025380,4a06,1,61.679707,911.127014,0,0,-50,1,15,360,285,1006,1,0,0,8,721,0.12106,22,337981135,258,4,0.00005,28,62436507,62435506,281386/24099/40/12,724343/15389/111/37,17.7,402198.8808290155,37.315461008172285,2253312.0,2268000.0,nan
1687025381,4a06,1,62.018314,904.990295,0,0,-49,14,15,360,285,1010,1,0,0,8,723,0.12685,22,339420536,258,4,0.00104,28,62473494,62472493,282459/24238/41/12,724736/15390/112/37,18.0,408202.8149732621,38.12704241794088,2194144.0,2292000.0,nan
1687025382,4a06,1,62.90052,910.504578,0,0,-50,10,15,360,290,1007,1,0,0,8,727,0.11777,22,340884529,258,4,0.00351,28,62510878,62509771,283548/24361/41/12,725132/15392/114/37,20.333333333333332,413658.3004975124,36.66766821736037,2347648.0,2400000.0,nan
1687025383,4a06,1,63.944805,918.51825,0,0,-51,7,15,350,275,1003,1,0,0,8,731,0.10715,22,342365429,259,4,0.00663,28,62548724,62547723,284648/24474/41/12,725525/15395/115/37,18.5,420755.3846153846,37.33860636220395,2418400.0,2544000.0,nan
1687025384,4a06,1,63.975124,927.265259,0,0,-52,3,15,340,290,996,1,0,0,8,733,0.09634,22,343863236,259,4,0.00425,28,62586339,62585338,285759/24575/41/12,725922/15396/116/37,18.8,426655.7725888325,37.871564294874055,2300480.0,2352000.0,nan
