('192.168.70.129', 39820, '12.1.1.152', 10000);('192.168.70.129', 39820, '12.1.1.152', 10000);('192.168.70.129', 39820, '12.1.1.152', 10000);total;total;total;
0.0003170967102050781;1;3;0.0003170967102050781;1;3;
0.2003171443939209;0;52;0.2003171443939209;0;52;
0.4003171920776367;0;54;0.4003171920776367;0;54;
0.6003172397613525;0;66;0.6003172397613525;0;66;
0.8003172874450684;0;76;0.8003172874450684;0;76;
1.0003173351287842;0;85;1.0003173351287842;0;85;
1.2003173828125;0;92;1.2003173828125;0;92;
1.4003174304962158;0;89;1.4003174304962158;0;89;
1.6003174781799316;0;71;1.6003174781799316;0;71;
1.8003175258636475;0;101;1.8003175258636475;0;101;
2.0003175735473633;0;96;2.0003175735473633;0;96;
2.200317621231079;0;87;2.200317621231079;0;87;
2.400317668914795;0;89;2.400317668914795;0;89;
2.6003177165985107;0;89;2.6003177165985107;0;89;
2.8003177642822266;0;92;2.8003177642822266;0;92;
3.0003178119659424;0;85;3.0003178119659424;0;85;
3.200317859649658;0;91;3.200317859649658;0;91;
3.400317907333374;0;88;3.400317907333374;0;88;
3.60031795501709;0;97;3.60031795501709;0;97;
3.8003180027008057;0;94;3.8003180027008057;0;94;
4.0003180503845215;0;109;4.0003180503845215;0;109;
4.200318098068237;0;110;4.200318098068237;0;110;
4.400318145751953;0;103;4.400318145751953;0;103;
4.600318193435669;0;104;4.600318193435669;0;104;
4.800318241119385;0;106;4.800318241119385;0;106;
5.000318288803101;0;98;5.000318288803101;0;98;
5.200318336486816;0;111;5.200318336486816;0;111;
5.400318384170532;0;107;5.400318384170532;0;107;
5.600318431854248;0;109;5.600318431854248;0;109;
5.800318479537964;0;105;5.800318479537964;0;105;
6.00031852722168;0;109;6.00031852722168;0;109;
6.2003185749053955;0;115;6.2003185749053955;0;115;
6.400318622589111;0;112;6.400318622589111;0;112;
6.600318670272827;0;108;6.600318670272827;0;108;
6.800318717956543;0;111;6.800318717956543;0;111;
7.000318765640259;0;109;7.000318765640259;0;109;
7.200318813323975;0;101;7.200318813323975;0;101;
7.40031886100769;0;118;7.40031886100769;0;118;
7.600318908691406;0;105;7.600318908691406;0;105;
7.800318956375122;0;116;7.800318956375122;0;116;
8.000319004058838;0;107;8.000319004058838;0;107;
8.200319051742554;0;114;8.200319051742554;0;114;
8.40031909942627;0;107;8.40031909942627;0;107;
8.600319147109985;0;108;8.600319147109985;0;108;
8.800319194793701;0;113;8.800319194793701;0;113;
9.000319242477417;0;113;9.000319242477417;0;113;
9.200319290161133;0;112;9.200319290161133;0;112;
9.400319337844849;0;110;9.400319337844849;0;110;
9.600319385528564;0;95;9.600319385528564;0;95;
9.80031943321228;0;117;9.80031943321228;0;117;
10.000319480895996;0;111;10.000319480895996;0;111;
10.200319528579712;0;111;10.200319528579712;0;111;
10.400319576263428;0;104;10.400319576263428;0;104;
10.600319623947144;0;122;10.600319623947144;0;122;
10.80031967163086;0;113;10.80031967163086;0;113;
11.000319719314575;0;116;11.000319719314575;0;116;
11.200319766998291;0;110;11.200319766998291;0;110;
11.400319814682007;0;106;11.400319814682007;0;106;
11.600319862365723;0;134;11.600319862365723;0;134;
