('192.168.70.134', 45130, '192.168.70.129', 10000);('192.168.70.134', 45130, '192.168.70.129', 10000);('192.168.70.134', 44552, '192.168.70.129', 10001);('192.168.70.134', 44552, '192.168.70.129', 10001);
1685937448.3903441;0.0;1685937448.3903441;0.0;
1685937448.5903442;0.0;1685937448.5903442;0.0;
1685937448.7903442;0.0;1685937448.7903442;0.0;
1685937448.9903443;2896.0;1685937448.9903443;0.0;
1685937449.1903443;3546.122448979592;1685937449.1903443;2431.2098765432097;
1685937449.3903444;3777.391304347826;1685937449.3903444;0.0;
1685937449.5903444;4633.6;1685937449.5903444;1654.857142857143;
1685937449.7903445;0;1685937449.7903445;850.2018348623853;
1685937449.9903445;3736.7741935483873;1685937449.9903445;3723.4285714285716;
1685937450.1903446;4088.470588235294;1685937450.1903446;3747.764705882353;
1685937450.3903446;0;1685937450.3903446;626.1621621621622;
1685937450.5903447;3861.3333333333335;1685937450.5903447;0.0;
1685937450.7903447;0;1685937450.7903447;0.0;
1685937450.9903448;0;1685937450.9903448;1893.5384615384614;
1685937451.1903448;1232.340425531915;1685937451.1903448;3752.56338028169;
1685937451.3903449;3309.714285714286;1685937451.3903449;3861.3333333333335;
1685937451.590345;0;1685937451.590345;1538.5;
1685937451.790345;0;1685937451.790345;0.0;
1685937451.990345;0.0;1685937451.990345;0.0;
1685937452.190345;0;1685937452.190345;0.0;
1685937452.390345;0;1685937452.390345;0.0;
1685937452.5903451;0;1685937452.5903451;497.4723926380368;
1685937452.7903452;0.0;1685937452.7903452;3861.3333333333335;
1685937452.9903452;2145.185185185185;1685937452.9903452;3821.5257731958764;
1685937453.1903453;8494.933333333332;1685937453.1903453;3620.0;
1685937453.3903453;0;1685937453.3903453;3893.781512605042;
1685937453.5903454;0;1685937453.5903454;3861.3333333333335;
1685937453.7903454;0;1685937453.7903454;697.8313253012049;
1685937453.9903455;0;1685937453.9903455;0.0;
1685937454.1903455;0.0;1685937454.1903455;0.0;
1685937454.3903456;0;1685937454.3903456;791.4534161490683;
1685937454.5903456;0;1685937454.5903456;3861.3333333333335;
1685937454.7903457;0;1685937454.7903457;3823.8446601941746;
1685937454.9903457;0;1685937454.9903457;3894.6206896551726;
1685937455.1903458;0;1685937455.1903458;3861.3333333333335;
1685937455.3903458;0;1685937455.3903458;3861.3333333333335;
1685937455.5903459;0;1685937455.5903459;3861.3333333333335;
1685937455.790346;0;1685937455.790346;3828.6101694915255;
1685937455.990346;0;1685937455.990346;3861.3333333333335;
1685937456.190346;1654.857142857143;1685937456.190346;3861.3333333333335;
1685937456.390346;3861.3333333333335;1685937456.390346;3861.3333333333335;
1685937456.590346;3861.3333333333335;1685937456.590346;3861.3333333333335;
1685937456.7903461;0;1685937456.7903461;3861.3333333333335;
1685937456.9903462;0;1685937456.9903462;3723.4285714285716;
1685937457.1903462;0;1685937457.1903462;3823.8446601941746;
1685937457.3903463;0;1685937457.3903463;4054.4;
1685937457.5903463;0;1685937457.5903463;4009.846153846154;
1685937457.7903464;0;1685937457.7903464;3890.8091603053435;
1685937457.9903464;0.0;1685937457.9903464;3861.3333333333335;
1685937458.1903465;0;1685937458.1903465;3861.3333333333335;
1685937458.3903465;0;1685937458.3903465;3861.3333333333335;
1685937458.5903466;0;1685937458.5903466;3827.75652173913;
1685937458.7903466;0;1685937458.7903466;3815.9058823529413;
1685937458.9903467;0;1685937458.9903467;3826.8571428571427;
1685937459.1903467;0;1685937459.1903467;3891.5;
1685937459.3903468;0;1685937459.3903468;3823.8446601941746;
1685937459.5903468;0;1685937459.5903468;3732.6222222222223;
1685937459.7903469;0;1685937459.7903469;3832.3007518796994;
1685937459.990347;0.0;1685937459.990347;3938.56;
1685937460.190347;681.4117647058823;1685937460.190347;3801.0;
1685937460.390347;0;1685937460.390347;3896.4363636363637;
1685937460.590347;3685.818181818182;1685937460.590347;3861.3333333333335;
1685937460.790347;0;1685937460.790347;3861.3333333333335;
1685937460.9903471;0;1685937460.9903471;3861.3333333333335;
1685937461.1903472;0;1685937461.1903472;3830.1935483870966;
1685937461.3903472;0;1685937461.3903472;3861.3333333333335;
1685937461.5903473;0;1685937461.5903473;3861.3333333333335;
1685937461.7903473;0;1685937461.7903473;3892.224;
1685937461.9903474;0;1685937461.9903474;4036.848484848485;
1685937462.1903474;0.0;1685937462.1903474;3861.3333333333335;
1685937462.3903475;0;1685937462.3903475;3861.3333333333335;
1685937462.5903475;0;1685937462.5903475;3861.3333333333335;
1685937462.7903476;0;1685937462.7903476;4278.371681415929;
1685937462.9903476;0;1685937462.9903476;3861.3333333333335;
1685937463.1903477;0;1685937463.1903477;3732.6222222222223;
1685937463.3903477;0;1685937463.3903477;3887.248322147651;
1685937463.5903478;0;1685937463.5903478;3861.3333333333335;
1685937463.7903478;0;1685937463.7903478;3861.3333333333335;
1685937463.9903479;0.0;1685937463.9903479;4118.7555555555555;
1685937464.190348;0.0;1685937464.190348;3861.3333333333335;
1685937464.390348;0.0;1685937464.390348;3832.3007518796994;
1685937464.590348;0.0;1685937464.590348;3861.3333333333335;
1685937464.790348;0;1685937464.790348;3895.504424778761;
1685937464.990348;0;1685937464.990348;3828.6101694915255;
1685937465.1903481;0;1685937465.1903481;3897.4205607476633;
1685937465.3903482;0;1685937465.3903482;3762.324786324786;
1685937465.5903482;0;1685937465.5903482;3861.3333333333335;
1685937465.7903483;0;1685937465.7903483;3791.1272727272726;
1685937465.9903483;0;1685937465.9903483;3894.6206896551726;
1685937466.1903484;0.0;1685937466.1903484;3861.3333333333335;
1685937466.3903484;0;1685937466.3903484;3827.75652173913;
1685937466.5903485;0;1685937466.5903485;3861.3333333333335;
1685937466.7903485;0;1685937466.7903485;3896.4363636363637;
1685937466.9903486;0;1685937466.9903486;3830.9291338582675;
1685937467.1903486;0;1685937467.1903486;3861.3333333333335;
1685937467.3903487;0;1685937467.3903487;3798.032786885246;
1685937467.5903487;0;1685937467.5903487;3895.504424778761;
1685937467.7903488;0;1685937467.7903488;3830.1935483870966;
1685937467.9903488;0;1685937467.9903488;3764.8;
1685937468.1903489;2172.0;1685937468.1903489;3861.3333333333335;
1685937468.390349;3938.56;1685937468.390349;3861.3333333333335;
1685937468.590349;3309.714285714286;1685937468.590349;3861.3333333333335;
1685937468.790349;3801.0;1685937468.790349;3787.076923076923;
1685937468.990349;3747.764705882353;1685937468.990349;3815.9058823529413;
1685937469.190349;0;1685937469.190349;3893.781512605042;
1685937469.3903491;0;1685937469.3903491;3861.3333333333335;
1685937469.5903492;0;1685937469.5903492;3861.3333333333335;
1685937469.7903492;0;1685937469.7903492;3794.7586206896553;
1685937469.9903493;0;1685937469.9903493;3769.3968253968255;
1685937470.1903493;0;1685937470.1903493;3899.5643564356437;
1685937470.3903494;0;1685937470.3903494;3804.963503649635;
1685937470.5903494;0.0;1685937470.5903494;3861.3333333333335;
1685937470.7903495;0;1685937470.7903495;3828.6101694915255;
1685937470.9903495;0;1685937470.9903495;3861.3333333333335;
1685937471.1903496;0;1685937471.1903496;3895.504424778761;
1685937471.3903496;0;1685937471.3903496;3823.8446601941746;
1685937471.5903497;0;1685937471.5903497;3728.183908045977;
1685937471.7903497;0;1685937471.7903497;3861.3333333333335;
1685937471.9903498;0;1685937471.9903498;3833.5539568345325;
1685937472.1903498;0;1685937472.1903498;3784.871287128713;
1685937472.3903499;373.6774193548387;1685937472.3903499;3982.0;
1685937472.59035;1066.9473684210527;1685937472.59035;0;
1685937472.79035;3861.3333333333335;1685937472.79035;2518.2608695652175;
1685937472.99035;0;1685937472.99035;3796.436974789916;
1685937473.19035;0.0;1685937473.19035;3825.908256880734;
1685937473.39035;3418.2295081967213;1685937473.39035;4009.846153846154;
1685937473.5903502;3309.714285714286;1685937473.5903502;3764.8;
1685937473.7903502;0;1685937473.7903502;3830.9291338582675;
1685937473.9903502;0;1685937473.9903502;3836.7388535031846;
1685937474.1903503;0;1685937474.1903503;4688.761904761905;
1685937474.3903503;0;1685937474.3903503;3832.3007518796994;
1685937474.5903504;0;1685937474.5903504;3861.3333333333335;
1685937474.7903504;0;1685937474.7903504;3892.9836065573772;
1685937474.9903505;0;1685937474.9903505;3861.3333333333335;
1685937475.1903505;0.0;1685937475.1903505;4095.3535353535353;
1685937475.3903506;0;1685937475.3903506;3861.3333333333335;
1685937475.5903506;0;1685937475.5903506;3829.4214876033056;
1685937475.7903507;0;1685937475.7903507;3826.8571428571427;
1685937475.9903507;0;1685937475.9903507;3830.9291338582675;
1685937476.1903508;0;1685937476.1903508;3890.8091603053435;
1685937476.3903508;0;1685937476.3903508;3861.3333333333335;
1685937476.5903509;0;1685937476.5903509;4212.363636363636;
1685937476.790351;1390.08;1685937476.790351;3930.285714285714;
1685937476.990351;73.78343949044586;1685937476.990351;0;
1685937477.190351;681.4117647058823;1685937477.190351;0;
1685937477.390351;3861.3333333333335;1685937477.390351;0.0;
1685937477.590351;0;1685937477.590351;3685.818181818182;
1685937477.7903512;0;1685937477.7903512;3892.9836065573772;
1685937477.9903512;1362.8235294117646;1685937477.9903512;3608.1311475409834;
1685937478.1903512;3814.243902439024;1685937478.1903512;0;
1685937478.3903513;3777.391304347826;1685937478.3903513;3861.3333333333335;
1685937478.5903513;0;1685937478.5903513;3740.6666666666665;
1685937478.7903514;0;1685937478.7903514;3861.3333333333335;
1685937478.9903514;0;1685937478.9903514;3826.8571428571427;
1685937479.1903515;0;1685937479.1903515;3828.6101694915255;
1685937479.3903515;0;1685937479.3903515;3895.504424778761;
1685937479.5903516;0;1685937479.5903516;3861.3333333333335;
1685937479.7903516;0;1685937479.7903516;3830.1935483870966;
1685937479.9903517;0;1685937479.9903517;3861.3333333333335;
1685937480.1903517;1007.304347826087;1685937480.1903517;3764.8;
1685937480.3903518;0;1685937480.3903518;3861.3333333333335;
1685937480.5903518;0;1685937480.5903518;3861.3333333333335;
1685937480.7903519;0;1685937480.7903519;3861.3333333333335;
1685937480.990352;0;1685937480.990352;3892.224;
1685937481.190352;0;1685937481.190352;3784.871287128713;
1685937481.390352;0;1685937481.390352;3768.289156626506;
1685937481.590352;0;1685937481.590352;3828.6101694915255;
1685937481.790352;0;1685937481.790352;3796.436974789916;
1685937481.9903522;1654.857142857143;1685937481.9903522;3971.657142857143;
1685937482.1903522;0.0;1685937482.1903522;0;
1685937482.3903522;0.0;1685937482.3903522;0;
1685937482.5903523;0.0;1685937482.5903523;0;
1685937482.7903523;0.0;1685937482.7903523;0;
1685937482.9903524;0.0;1685937482.9903524;2647.7714285714287;
1685937483.1903524;0;1685937483.1903524;3861.3333333333335;
1685937483.3903525;0.0;1685937483.3903525;3861.3333333333335;
1685937483.5903525;0.0;1685937483.5903525;0.0;
1685937483.7903526;2138.5846153846155;1685937483.7903526;0;
1685937483.9903526;3861.3333333333335;1685937483.9903526;3147.8260869565215;
1685937484.1903527;0;1685937484.1903527;3861.3333333333335;
1685937484.3903527;0;1685937484.3903527;3861.3333333333335;
1685937484.5903528;0;1685937484.5903528;3803.7014925373132;
1685937484.7903528;0;1685937484.7903528;3861.3333333333335;
1685937484.9903529;0;1685937484.9903529;3830.1935483870966;
1685937485.190353;0;1685937485.190353;3903.304347826087;
1685937485.390353;0;1685937485.390353;3861.3333333333335;
1685937485.590353;0;1685937485.590353;3861.3333333333335;
1685937485.790353;1810.0;1685937485.790353;3747.764705882353;
1685937485.990353;0;1685937485.990353;3832.3007518796994;
1685937486.1903532;0;1685937486.1903532;3861.3333333333335;
1685937486.3903532;0;1685937486.3903532;3861.3333333333335;
1685937486.5903533;0;1685937486.5903533;3740.6666666666665;
1685937486.7903533;0;1685937486.7903533;3861.3333333333335;
1685937486.9903533;0;1685937486.9903533;3796.436974789916;
1685937487.1903534;0;1685937487.1903534;3861.3333333333335;
1685937487.3903534;2014.608695652174;1685937487.3903534;3861.3333333333335;
1685937487.5903535;289.6;1685937487.5903535;0;
1685937487.7903535;3420.038095238095;1685937487.7903535;0;
