('12.1.1.151', 50282, '192.168.70.129', 10001);('12.1.1.151', 50282, '192.168.70.129', 10001);('12.1.1.151', 50282, '192.168.70.129', 10001);('12.1.1.151', 50284, '192.168.70.129', 10001);('12.1.1.151', 50284, '192.168.70.129', 10001);('12.1.1.151', 50284, '192.168.70.129', 10001);
;;;120135.5874;190.0;55.0;
;;;120135.691445;191.0;55.0;
;;;120135.795539;191.0;55.0;
;;;120135.899565;192.0;55.0;
;;;120136.003618;193.0;55.0;
;;;120136.107651;193.0;55.0;
;;;120136.211683;194.0;55.0;
;;;120136.315709;194.0;55.0;
;;;120136.419781;195.0;55.0;
;;;120136.523793;196.0;55.0;
;;;120136.62779;196.0;55.0;
;;;120136.731773;197.0;55.0;
;;;120136.835791;197.0;55.0;
;;;120136.945117;198.0;55.0;
;;;120137.049141;199.0;55.0;
;;;120137.153225;199.0;55.0;
;;;120137.257241;200.0;55.0;
;;;120137.361227;200.0;55.0;
;;;120137.465279;201.0;55.0;
;;;120137.569261;201.0;55.0;
;;;120137.673282;202.0;55.0;
;;;120137.777319;203.0;55.0;
;;;120137.881345;203.0;55.0;
;;;120137.98538;204.0;55.0;
;;;120138.090221;204.0;55.0;
;;;120138.194449;205.0;55.0;
;;;120138.298548;206.0;55.0;
;;;120138.402892;206.0;55.0;
;;;120138.50706;207.0;55.0;
;;;120138.612328;207.0;55.0;
;;;120138.716539;208.0;55.0;
;;;120138.822561;208.0;55.0;
;;;120138.927009;209.0;55.0;
;;;120139.031684;210.0;55.0;
;;;120139.135859;210.0;55.0;
;;;120139.240145;211.0;55.0;
;;;120139.344538;211.0;55.0;
;;;120139.449146;212.0;55.0;
;;;120139.553943;212.0;55.0;
;;;120139.658411;213.0;55.0;
;;;120139.76246;213.0;55.0;
;;;120139.866562;214.0;55.0;
;;;120139.971481;214.0;55.0;
;;;120140.075792;215.0;55.0;
;;;120140.180442;216.0;55.0;
;;;120140.285577;216.0;55.0;
;;;120140.390095;217.0;55.0;
;;;120140.495012;217.0;55.0;
;;;120140.599408;218.0;55.0;
;;;120140.703502;218.0;55.0;
;;;120140.807594;219.0;55.0;
;;;120140.912541;219.0;55.0;
;;;120141.016882;220.0;55.0;
;;;120141.121094;220.0;55.0;
;;;120141.225449;221.0;55.0;
;;;120141.330248;221.0;55.0;
;;;120141.434993;222.0;55.0;
;;;120141.539513;222.0;55.0;
;;;120141.644356;223.0;55.0;
;;;120141.748857;224.0;55.0;
;;;120141.853673;224.0;55.0;
;;;120141.97053;225.0;55.0;
;;;120142.075392;225.0;55.0;
;;;120142.180296;226.0;55.0;
;;;120142.285104;226.0;55.0;
;;;120142.389929;227.0;55.0;
;;;120142.494521;227.0;55.0;
;;;120142.599104;228.0;55.0;
;;;120142.703591;228.0;55.0;
;;;120142.8084;228.0;55.0;
;;;120142.913499;229.0;55.0;
;;;120143.018053;230.0;55.0;
;;;120143.122791;230.0;55.0;
;;;120143.227546;230.0;55.0;
;;;120143.331995;231.0;55.0;
;;;120143.436671;231.0;55.0;
;;;120143.541238;232.0;55.0;
;;;120143.646606;232.0;55.0;
;;;120143.751056;233.0;55.0;
;;;120143.855782;233.0;55.0;
;;;120143.960327;234.0;55.0;
;;;120144.064532;234.0;55.0;
;;;120144.168538;235.0;55.0;
;;;120144.272583;235.0;55.0;
;;;120144.376701;236.0;55.0;
;;;120144.480672;236.0;55.0;
;;;120144.58465;237.0;55.0;
;;;120144.688621;237.0;55.0;
;;;120144.792644;238.0;55.0;
;;;120144.896672;238.0;55.0;
;;;120145.000692;239.0;55.0;
;;;120145.104719;239.0;55.0;
;;;120145.208858;240.0;55.0;
;;;120145.312881;240.0;55.0;
;;;120145.416874;241.0;55.0;
;;;120145.520868;241.0;55.0;
;;;120145.62488;242.0;55.0;
;;;120145.72891;242.0;55.0;
;;;120145.832905;242.0;55.0;
;;;120145.9369;243.0;55.0;
;;;120146.04096;243.0;55.0;
;;;120146.144939;244.0;55.0;
;;;120146.248989;244.0;55.0;
;;;120146.352964;245.0;55.0;
;;;120146.456918;245.0;55.0;
;;;120146.560912;246.0;55.0;
