('192.168.70.129', 52798, '12.1.1.151', 10000);('192.168.70.129', 52798, '12.1.1.151', 10000);('192.168.70.129', 52798, '12.1.1.151', 10000);
0.0;17.0;0;
0.10398697853088379;21.0;20.0;
0.20792412757873535;19.0;18.0;
0.31178951263427734;17.0;16.0;
0.41564440727233887;15.0;13.0;
0.5200369358062744;14.0;12.0;
0.6239871978759766;13.0;11.0;
0.7278568744659424;15.0;11.0;
0.8317885398864746;14.0;11.0;
0.9356353282928467;9.0;8.0;
1.0395426750183105;6.0;5.0;
1.1439146995544434;7.0;4.0;
1.2480242252349854;6.0;5.0;
1.3518691062927246;6.0;4.0;
1.4557111263275146;5.0;4.0;
1.559539556503296;7.0;3.0;
1.6634483337402344;6.0;4.0;
1.7672605514526367;7.0;5.0;
1.871049404144287;5.0;3.0;
1.9748430252075195;6.0;4.0;
2.0786032676696777;5.0;4.0;
2.1823623180389404;6.0;4.0;
2.2861149311065674;6.0;4.0;
2.3899152278900146;6.0;4.0;
2.4936907291412354;6.0;4.0;
2.59743595123291;6.0;4.0;
2.7011866569519043;6.0;4.0;
2.804938554763794;7.0;4.0;
2.9086899757385254;5.0;4.0;
3.0124340057373047;7.0;4.0;
3.116206169128418;6.0;4.0;
3.219949722290039;6.0;4.0;
3.3237924575805664;7.0;4.0;
3.4275615215301514;5.0;4.0;
3.540271759033203;5.0;4.0;
3.6440069675445557;5.0;4.0;
3.7477424144744873;6.0;4.0;
3.851572275161743;5.0;4.0;
3.955331802368164;6.0;4.0;
4.059084177017212;5.0;4.0;
4.162815093994141;5.0;4.0;
4.266557693481445;5.0;3.0;
4.370890855789185;5.0;4.0;
4.474757432937622;5.0;4.0;
4.578524351119995;6.0;4.0;
4.682356119155884;6.0;4.0;
4.786127328872681;6.0;4.0;
4.889883518218994;5.0;4.0;
4.993658542633057;5.0;4.0;
5.097429275512695;6.0;4.0;
5.201188325881958;5.0;4.0;
5.304953575134277;5.0;4.0;
5.408693552017212;6.0;4.0;
5.51246976852417;6.0;4.0;
5.616241216659546;5.0;4.0;
5.720008850097656;6.0;4.0;
5.8237624168396;5.0;4.0;
5.927550792694092;5.0;4.0;
6.034070253372192;6.0;4.0;
6.137959718704224;5.0;4.0;
6.241776704788208;5.0;4.0;
6.345596790313721;6.0;4.0;
6.449479341506958;5.0;4.0;
6.553416728973389;6.0;4.0;
6.657280206680298;6.0;4.0;
6.761130094528198;7.0;6.0;
