0.0,-64
1.0,-54
2.0,-52
3.0,-52
4.0,-52
5.0,-53
6.0,-53
7.0,-53
8.0,-58
9.0,-57
10.0,-53
11.0,-64
12.0,-55
13.0,-55
14.0,-56
15.0,-56
16.0,-56
17.0,-55
18.0,-54
19.0,-55
20.0,-55
21.0,-54
22.0,-54
23.0,-53
24.0,-53
25.0,-54
26.0,-54
27.0,-54
28.0,-54
29.0,-54
30.0,-54
31.0,-63
32.0,-54
33.0,-53
34.0,-54
35.0,-55
36.0,-55
37.0,-55
38.0,-55
39.0,-78
40.0,-62
41.0,-58
42.0,-58
43.0,-59
44.0,-59
45.0,-64
46.0,-59
47.0,-58
48.0,-59
49.0,-58
50.0,-63
51.0,-58
52.0,-59
53.0,-58
54.0,-58
55.0,-66
56.0,-57
57.0,-57
58.0,-57
59.0,-63
60.0,-57
61.0,-58
62.0,-58
63.0,-61
64.0,-56
65.0,-56
66.0,-56
67.0,-56
68.0,-56
69.0,-55
70.0,-55
71.0,-54
72.0,-54
73.0,-54
74.0,-54
75.0,-55
76.0,-54
77.0,-54
78.0,-54
79.0,-53
80.0,-55
81.0,-55
82.0,-54
83.0,-54
84.0,-54
85.0,-55
86.0,-55
87.0,-55
88.0,-55
89.0,-54
90.0,-56
91.0,-56
92.0,-56
93.0,-56
94.0,-57
95.0,-56
96.0,-56
97.0,-57
98.0,-58
99.0,-58
100.0,-58
