('192.168.70.129', 54994, '12.1.1.158', 10000);('192.168.70.129', 54994, '12.1.1.158', 10000);('192.168.70.129', 54994, '12.1.1.158', 10000);('192.168.70.129', 35304, '12.1.1.158', 10001);('192.168.70.129', 35304, '12.1.1.158', 10001);('192.168.70.129', 35304, '12.1.1.158', 10001);('192.168.70.129', 35306, '12.1.1.158', 10001);('192.168.70.129', 35306, '12.1.1.158', 10001);('192.168.70.129', 35306, '12.1.1.158', 10001);('192.168.70.129', 55000, '12.1.1.158', 10000);('192.168.70.129', 55000, '12.1.1.158', 10000);('192.168.70.129', 55000, '12.1.1.158', 10000);
;;;;;;71728.209649;16.0;0;71728.209649;10.0;0;
;;;;;;71728.313729;39.0;0;71728.313729;27.0;0;
;;;;;;71728.417648;70.0;0;71728.417648;30.0;30.0;
;;;;;;71728.521552;95.0;0;71728.521552;31.0;30.0;
;;;;;;71728.625459;151.0;0;71728.625459;32.0;30.0;
;;;;;;71728.72953;185.0;0;71728.72953;33.0;30.0;
;;;;;;71728.833545;242.0;0;71728.833545;33.0;30.0;
;;;;;;71728.937413;296.0;0;71728.937413;35.0;30.0;
;;;;;;71729.041387;349.0;0;71729.041387;35.0;30.0;
;;;;;;71729.145347;418.0;0;71729.145347;35.0;30.0;
;;;;;;71729.249236;547.0;0;71729.249236;35.0;30.0;
;;;;;;71729.353164;595.0;0;71729.353164;36.0;30.0;
;;;;;;71729.457079;658.0;0;71729.457079;36.0;30.0;
;;;;;;71729.561131;718.0;0;71729.561131;36.0;30.0;
;;;;;;71729.665072;779.0;0;71729.665072;36.0;30.0;
;;;;;;71729.768943;888.0;0;71729.768943;36.0;30.0;
;;;;;;71729.872867;983.0;0;71729.872867;36.0;30.0;
;;;;;;71729.976825;1075.0;0;71729.976825;36.0;30.0;
;;;;;;71730.080736;1145.0;0;71730.080736;37.0;30.0;
;;;;;;71730.184622;1183.0;0;71730.184622;38.0;30.0;
;;;;;;71730.288487;1242.0;0;71730.288487;38.0;30.0;
;;;;;;71730.392347;1336.0;0;71730.392347;38.0;30.0;
;;;;;;71730.496399;1412.0;0;71730.496399;38.0;30.0;
;;;;;;71730.600264;1479.0;0;71730.600264;38.0;30.0;
;;;;;;71730.704223;1568.0;0;71730.704223;38.0;30.0;
;;;;;;71730.808083;1662.0;0;71730.808083;38.0;30.0;
;;;;;;71730.912115;1752.0;0;71730.912115;38.0;30.0;
;;;;;;71731.016175;1838.0;0;71731.016175;38.0;30.0;
;;;;;;71731.12004;1926.0;0;71731.12004;38.0;30.0;
;;;;;;71731.22406;2010.0;0;71731.22406;38.0;30.0;
;;;;;;71731.327938;2090.0;0;71731.327938;38.0;30.0;
;;;;;;71731.43188;2178.0;0;71731.43188;38.0;30.0;
;;;;;;71731.535849;2266.0;0;71731.535849;38.0;30.0;
;;;;;;71731.639765;2320.0;0;71731.639765;41.0;30.0;
;;;;;;71731.744112;2406.0;0;71731.744112;42.0;30.0;
;;;;;;71731.848595;2496.0;0;71731.848595;42.0;30.0;
;;;;;;71731.952665;2570.0;0;71731.952665;42.0;30.0;
;;;;;;71732.056692;2658.0;0;71732.056692;42.0;30.0;
;;;;;;71732.172335;2752.0;0;71732.172335;42.0;30.0;
;;;;;;71732.276321;2838.0;0;71732.276321;42.0;30.0;
;;;;;;71732.380271;2934.0;0;71732.380271;42.0;30.0;
;;;;;;71732.484152;3032.0;0;71732.484152;42.0;30.0;
;;;;;;71732.588196;3120.0;0;71732.588196;42.0;30.0;
;;;;;;71732.692152;3218.0;0;71732.692152;43.0;30.0;
;;;;;;71732.79617;3312.0;0;71732.79617;43.0;30.0;
;;;;;;71732.900123;3410.0;0;71732.900123;43.0;30.0;
;;;;;;71733.004059;3510.0;0;71733.004059;43.0;30.0;
;;;;;;71733.108116;3602.0;0;71733.108116;43.0;30.0;
;;;;;;71733.212198;3696.0;0;71733.212198;43.0;30.0;
;;;;;;71733.316109;1864.0;1878.0;71733.316109;43.0;30.0;
;;;;;;71733.420114;1820.0;1878.0;71733.420114;43.0;30.0;
;;;;;;71733.523983;1739.0;1878.0;71733.523983;44.0;30.0;
;;;;;;71733.627896;1655.0;1878.0;71733.627896;44.0;30.0;
;;;;;;71733.731909;1617.0;1878.0;71733.731909;63.0;30.0;
;;;;;;71733.835992;1507.0;1878.0;71733.835992;64.0;30.0;
;;;;;;71733.940321;1412.0;1878.0;71733.940321;64.0;30.0;
;;;;;;71734.044406;1360.0;1878.0;71734.044406;64.0;30.0;
;;;;;;71734.148479;1314.0;1878.0;71734.148479;64.0;30.0;
;;;;;;71734.252555;1299.0;1878.0;71734.252555;64.0;30.0;
;;;;;;71734.356615;1191.0;1878.0;71734.356615;64.0;30.0;
;;;;;;71734.460576;889.0;1878.0;71734.460576;64.0;30.0;
;;;;;;71734.564656;880.0;1878.0;71734.564656;65.0;30.0;
;;;;;;71734.668545;880.0;1878.0;71734.668545;65.0;30.0;
;;;;;;71734.77261;880.0;1878.0;71734.77261;65.0;30.0;
;;;;;;71734.876524;830.0;1878.0;71734.876524;65.0;30.0;
;;;;;;71734.980622;780.0;1878.0;71734.980622;65.0;30.0;
;;;;;;71735.084476;736.0;1878.0;71735.084476;65.0;30.0;
;;;;;;71735.188405;695.0;1878.0;71735.188405;65.0;30.0;
;;;;;;71735.29234;654.0;1878.0;71735.29234;65.0;30.0;
;;;;;;71735.396327;610.0;1878.0;71735.396327;65.0;30.0;
;;;;;;71735.500246;569.0;1878.0;71735.500246;65.0;30.0;
;;;;;;71735.604128;365.0;1878.0;71735.604128;65.0;30.0;
;;;;;;71735.707995;358.0;1878.0;71735.707995;65.0;30.0;
;;;;;;71735.812025;1441.0;1878.0;71735.812025;65.0;30.0;
;;;;;;71735.916083;1441.0;1878.0;71735.916083;78.0;30.0;
;;;;;;71736.020142;1441.0;1878.0;71736.020142;95.0;30.0;
;;;;;;71736.124198;1441.0;1878.0;71736.124198;95.0;30.0;
;;;;;;71736.228196;1441.0;1878.0;71736.228196;97.0;30.0;
;;;;;;71736.33214;1441.0;1878.0;71736.33214;97.0;30.0;
;;;;;;71736.436108;1441.0;1878.0;71736.436108;97.0;30.0;
;;;;;;71736.540022;1461.0;1878.0;71736.540022;97.0;30.0;
;;;;;;71736.644003;1532.0;1878.0;71736.644003;97.0;30.0;
;;;;;;71736.747979;1586.0;1878.0;71736.747979;97.0;30.0;
;;;;;;71736.851869;1878.0;1878.0;71736.851869;98.0;30.0;
;;;;;;71736.955829;1878.0;1878.0;71736.955829;98.0;30.0;
;;;;;;71737.059751;1878.0;1878.0;71737.059751;98.0;30.0;
;;;;;;71737.172491;1878.0;1878.0;71737.172491;102.0;30.0;
;;;;;;71737.276489;1878.0;1878.0;71737.276489;136.0;30.0;
;;;;;;71737.38048;1878.0;1878.0;71737.38048;142.0;30.0;
;;;;;;71737.484444;1878.0;1878.0;71737.484444;142.0;30.0;
;;;;;;71737.588281;1878.0;1878.0;71737.588281;143.0;30.0;
;;;;;;71737.692119;1878.0;1878.0;71737.692119;146.0;30.0;
;;;;;;71737.795961;1878.0;1878.0;71737.795961;146.0;30.0;
;;;;;;71737.899789;1878.0;1878.0;71737.899789;146.0;30.0;
;;;;;;71738.003702;1878.0;1878.0;71738.003702;146.0;30.0;
;;;;;;71738.107773;1878.0;1878.0;71738.107773;146.0;30.0;
;;;;;;71738.211653;1878.0;1878.0;71738.211653;146.0;30.0;
;;;;;;71738.315679;1878.0;1878.0;71738.315679;146.0;30.0;
;;;;;;71738.419638;1878.0;1878.0;71738.419638;146.0;30.0;
;;;;;;71738.523589;1878.0;1878.0;71738.523589;146.0;30.0;
;;;;;;71738.627572;1878.0;1878.0;71738.627572;146.0;30.0;
;;;;;;71738.731503;1878.0;1878.0;71738.731503;146.0;30.0;
;;;;;;71738.835406;1878.0;1878.0;71738.835406;146.0;30.0;
;;;;;;71738.939373;1878.0;1878.0;71738.939373;162.0;30.0;
;;;;;;71739.043309;1878.0;1878.0;71739.043309;208.0;30.0;
;;;;;;71739.14738;1878.0;1878.0;71739.14738;213.0;30.0;
;;;;;;71739.251933;1878.0;1878.0;71739.251933;213.0;30.0;
;;;;;;71739.356029;1878.0;1878.0;71739.356029;213.0;30.0;
;;;;;;71739.459843;1878.0;1878.0;71739.459843;213.0;30.0;
;;;;;;71739.563661;1878.0;1878.0;71739.563661;213.0;30.0;
;;;;;;71739.667455;1878.0;1878.0;71739.667455;217.0;30.0;
;;;;;;71739.771472;1503.0;939.0;71739.771472;219.0;30.0;
;;;;;;71739.875364;1448.0;939.0;71739.875364;219.0;30.0;
;;;;;;71739.979373;1410.0;939.0;71739.979373;219.0;30.0;
;;;;;;71740.083257;1363.0;939.0;71740.083257;219.0;30.0;
;;;;;;71740.18729;1317.0;939.0;71740.18729;219.0;30.0;
;;;;;;71740.291274;1282.0;939.0;71740.291274;219.0;30.0;
;;;;;;71740.395149;1217.0;939.0;71740.395149;219.0;30.0;
;;;;;;71740.499093;1143.0;939.0;71740.499093;219.0;30.0;
;;;;;;71740.603049;908.0;939.0;71740.603049;243.0;30.0;
;;;;;;71740.706899;908.0;939.0;71740.706899;310.0;30.0;
;;;;;;71740.810861;860.0;939.0;71740.810861;320.0;30.0;
;;;;;;71740.914668;749.0;939.0;71740.914668;320.0;30.0;
;;;;;;71741.018525;654.0;939.0;71741.018525;320.0;30.0;
;;;;;;71741.122371;555.0;939.0;71741.122371;320.0;30.0;
;;;;;;71741.226295;467.0;939.0;71741.226295;320.0;30.0;
;;;;;;71741.330112;364.0;939.0;71741.330112;320.0;30.0;
;;;;;;71741.434059;332.0;939.0;71741.434059;320.0;30.0;
;;;;;;71741.537864;332.0;939.0;71741.537864;320.0;30.0;
;;;;;;71741.641819;939.0;939.0;71741.641819;328.0;30.0;
;;;;;;71741.745689;939.0;939.0;71741.745689;335.0;30.0;
;;;;;;71741.849669;939.0;939.0;71741.849669;384.0;30.0;
;;;;;;71741.95401;939.0;939.0;71741.95401;422.0;316.0;
;;;;;;71742.058038;939.0;939.0;71742.058038;422.0;316.0;
;;;;;;71742.162032;939.0;939.0;71742.162032;422.0;316.0;
;;;;;;71742.29249;939.0;939.0;71742.29249;422.0;316.0;
;;;;;;71742.396495;939.0;939.0;71742.396495;422.0;316.0;
;;;;;;71742.500424;939.0;939.0;71742.500424;422.0;316.0;
;;;;;;71742.604315;939.0;939.0;71742.604315;422.0;316.0;
;;;;;;71742.708297;939.0;939.0;71742.708297;422.0;316.0;
;;;;;;71742.812267;939.0;939.0;71742.812267;422.0;316.0;
;;;;;;71742.916267;939.0;939.0;71742.916267;422.0;316.0;
;;;;;;71743.020224;939.0;939.0;71743.020224;422.0;316.0;
;;;;;;71743.124263;939.0;939.0;71743.124263;422.0;316.0;
