('12.1.1.152', 42340, '192.168.70.129', 10000);('12.1.1.152', 42340, '192.168.70.129', 10000);('12.1.1.152', 42340, '192.168.70.129', 10000);('12.1.1.152', 42342, '192.168.70.129', 10000);('12.1.1.152', 42342, '192.168.70.129', 10000);('12.1.1.152', 42342, '192.168.70.129', 10000);
;;;0.0;11.0;0;
;;;0.1037139892578125;22.0;0;
;;;0.2076401710510254;29.0;0;
;;;0.31153202056884766;20.0;20.0;
;;;0.41544008255004883;21.0;20.0;
;;;0.5193531513214111;22.0;20.0;
;;;0.6232640743255615;24.0;20.0;
;;;0.7271051406860352;24.0;20.0;
;;;0.8309640884399414;24.0;20.0;
;;;0.9348809719085693;25.0;20.0;
;;;1.038823127746582;26.0;20.0;
;;;1.142820119857788;27.0;20.0;
;;;1.246845006942749;28.0;20.0;
;;;1.3508141040802002;29.0;20.0;
;;;1.4548590183258057;31.0;20.0;
;;;1.5587971210479736;32.0;20.0;
;;;1.6627371311187744;34.0;20.0;
;;;1.7666950225830078;35.0;20.0;
;;;1.8706960678100586;36.0;20.0;
;;;1.974708080291748;37.0;20.0;
;;;2.0799670219421387;38.0;20.0;
;;;2.1839210987091064;39.0;20.0;
;;;2.2876391410827637;40.0;20.0;
;;;2.391371965408325;41.0;20.0;
;;;2.4951140880584717;41.0;20.0;
;;;2.598798990249634;42.0;20.0;
;;;2.702486991882324;42.0;20.0;
;;;2.8061931133270264;43.0;20.0;
;;;2.9099321365356445;44.0;20.0;
;;;3.0136091709136963;44.0;20.0;
;;;3.117323160171509;45.0;20.0;
;;;3.221018075942993;45.0;20.0;
;;;3.3247921466827393;46.0;20.0;
;;;3.4284801483154297;46.0;20.0;
;;;3.532212972640991;47.0;20.0;
;;;3.6360220909118652;48.0;20.0;
;;;3.739760160446167;48.0;20.0;
;;;3.84366512298584;49.0;20.0;
;;;3.947582960128784;50.0;20.0;
;;;4.080356121063232;51.0;20.0;
;;;4.184705018997192;52.0;20.0;
;;;4.289345026016235;53.0;20.0;
;;;4.393989086151123;53.0;20.0;
;;;4.498694181442261;54.0;20.0;
;;;4.603180170059204;55.0;20.0;
;;;4.7074480056762695;56.0;20.0;
;;;4.811969995498657;57.0;20.0;
;;;4.916490077972412;58.0;20.0;
;;;5.021039962768555;58.0;20.0;
;;;5.12519907951355;59.0;20.0;
;;;5.229434967041016;60.0;20.0;
;;;5.333709001541138;61.0;20.0;
;;;5.438168048858643;62.0;20.0;
;;;5.5427281856536865;62.0;20.0;
;;;5.647444009780884;63.0;20.0;
;;;5.751779079437256;63.0;20.0;
;;;5.85622501373291;65.0;20.0;
;;;5.96098518371582;65.0;20.0;
;;;6.0653979778289795;66.0;20.0;
;;;6.169810056686401;67.0;20.0;
;;;6.273933172225952;67.0;20.0;
;;;6.3778910636901855;68.0;20.0;
;;;6.4818031787872314;69.0;20.0;
;;;6.585769176483154;69.0;20.0;
;;;6.689767122268677;70.0;20.0;
;;;6.793651103973389;71.0;20.0;
;;;6.89755916595459;71.0;20.0;
;;;7.001487970352173;72.0;20.0;
;;;7.105381011962891;73.0;20.0;
;;;7.210026025772095;73.0;20.0;
;;;7.313935041427612;74.0;20.0;
;;;7.418176174163818;75.0;20.0;
