('192.168.70.129', 54400, '12.1.1.155', 10000);('192.168.70.129', 54400, '12.1.1.155', 10000);('192.168.70.129', 54400, '12.1.1.155', 10000);
0.0;19.0;0;
0.10384368896484375;58.0;0;
0.2076563835144043;102.0;0;
0.3116114139556885;150.0;0;
0.4155306816101074;78.0;78.0;
0.5297105312347412;79.0;78.0;
0.6335341930389404;79.0;78.0;
0.737360954284668;80.0;78.0;
0.8411574363708496;81.0;78.0;
0.9449687004089355;81.0;78.0;
1.048814058303833;82.0;78.0;
1.1529202461242676;82.0;78.0;
1.2567572593688965;83.0;78.0;
1.3605668544769287;83.0;78.0;
1.4643783569335938;84.0;78.0;
1.5681815147399902;84.0;78.0;
1.6726257801055908;84.0;78.0;
1.7768738269805908;85.0;78.0;
1.8809876441955566;86.0;78.0;
1.985684871673584;86.0;78.0;
2.0895745754241943;87.0;78.0;
2.1934268474578857;87.0;78.0;
2.2973127365112305;88.0;78.0;
2.4013636112213135;88.0;78.0;
2.5059118270874023;89.0;78.0;
2.610147476196289;89.0;78.0;
2.714087963104248;90.0;78.0;
2.8179731369018555;91.0;78.0;
2.921975612640381;91.0;78.0;
3.0262269973754883;92.0;78.0;
3.1303651332855225;92.0;78.0;
3.2343828678131104;93.0;78.0;
3.3382441997528076;93.0;78.0;
3.4430429935455322;94.0;78.0;
3.5472850799560547;94.0;78.0;
3.65140438079834;95.0;78.0;
3.7552425861358643;95.0;78.0;
3.8590590953826904;96.0;78.0;
3.963114023208618;96.0;78.0;
4.067454814910889;57.0;56.0;
4.1715004444122314;58.0;56.0;
4.275872230529785;59.0;56.0;
4.380063056945801;60.0;56.0;
4.484205961227417;61.0;56.0;
4.588118314743042;61.0;56.0;
4.692119598388672;62.0;56.0;
4.79628849029541;63.0;56.0;
4.900612115859985;64.0;56.0;
5.004995107650757;64.0;56.0;
5.108841896057129;65.0;56.0;
5.212955713272095;66.0;56.0;
5.316973447799683;66.0;56.0;
5.421006441116333;67.0;56.0;
5.5297980308532715;68.0;56.0;
5.6335906982421875;69.0;56.0;
5.737571954727173;69.0;56.0;
5.841500997543335;70.0;56.0;
5.946234703063965;71.0;56.0;
6.050034284591675;71.0;56.0;
6.154070138931274;72.0;56.0;
6.258242845535278;73.0;56.0;
6.362110137939453;73.0;56.0;
6.4663615226745605;74.0;56.0;
6.5704123973846436;74.0;56.0;
6.674518823623657;75.0;56.0;
6.779292583465576;76.0;56.0;
6.883942604064941;76.0;56.0;
6.988667726516724;77.0;56.0;
7.0933849811553955;78.0;56.0;
7.197300434112549;78.0;56.0;
7.301543474197388;79.0;56.0;
7.405667304992676;79.0;56.0;
7.509839057922363;80.0;56.0;
7.613664150238037;80.0;56.0;
7.717565298080444;81.0;56.0;
7.822549104690552;82.0;56.0;
7.927682161331177;82.0;56.0;
8.03178858757019;83.0;56.0;
8.135905027389526;83.0;56.0;
8.240102291107178;84.0;56.0;
8.34413456916809;84.0;56.0;
8.447972059249878;85.0;56.0;
8.552060842514038;86.0;56.0;
8.65654444694519;86.0;56.0;
8.760682106018066;87.0;56.0;
8.864718675613403;87.0;56.0;
8.968785524368286;88.0;56.0;
9.07270097732544;88.0;56.0;
