tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds,cwnd_values,inflight,rtt,sending_rate,throughput,retransmissions_interval
13:11:18,e30a,1,724.244446,7.915744,0,0,-66,2,15,220,180,937,1,0,0,22,386,0.02394,15,14901071,4095,12,0.33549,25,152085515,152011504,39286/1367/272/30,352633/4244/2185/35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
13:11:19,e30a,1,1503.488281,28.213432,0,0,-59,15,15,340,295,1053,1,0,0,22,389,0.0343,25,14967179,4172,14,0.57687,15,153198878,153122887,39484/1373/272/30,352866/4407/2229/41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
13:11:20,e30a,1,1612.330811,59.331169,0,0,-53,11,15,320,295,1053,1,0,0,22,389,0.0698,28,15107511,4193,14,0.22494,6,154276221,154212616,39802/1395/272/30,353405/4428/2238/41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
13:11:21,e30a,1,1497.051025,60.134129,0,0,-53,8,15,330,295,1053,1,0,0,22,389,0.13315,28,15204627,4193,14,0.07843,6,154976821,154913216,40054/1438/272/30,354005/4428/2238/41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
13:11:22,e30a,1,1489.614502,67.981728,0,0,-54,4,15,340,290,1048,1,0,0,22,389,0.08246,27,15318387,4200,14,0.03759,12,155826562,155759019,40344/1456/272/30,354592/4435/2238/41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
13:11:23,e30a,1,1884.987915,69.101097,0,0,-54,1,15,350,285,1043,1,0,0,22,395,0.08383,27,15436535,4262,14,0.16699,15,157156831,157084617,40600/1476/276/31,354993/4500/2275/43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
13:11:24,e30a,1,2061.970215,85.364639,0,0,-54,13,15,330,285,1043,1,0,0,23,399,0.05268,27,15592390,4299,14,0.10496,13,158506455,158436944,40929/1488/278/31,355488/4537/2292/43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
13:11:25,e30a,1,2178.945312,97.194611,0,0,-54,10,15,330,285,1043,1,0,0,23,401,0.02309,28,15764666,4327,14,0.07072,13,159893250,159820970,41281/1492/279/31,356018/4565/2299/43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
13:11:26,e30a,1,2261.302734,97.142548,0,0,-54,6,15,310,290,1049,1,0,0,23,402,0.01143,28,15919040,4362,14,0.07081,13,161224496,161155737,41593/1494/279/31,356522/4600/2312/43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
13:11:27,e30a,1,2317.780273,94.631943,0,0,-54,3,15,360,295,1053,1,0,0,23,404,0.0094,28,16063577,4405,14,0.0766,13,162503650,162434891,41887/1497/279/31,357004/4640/2330/45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
